compound_id,site,conformer,affinity
PAPU-0080,siteI_IIA,conf01,-12.193
PAPU-0080,siteI_IIA,conf02,-12.256
PAPU-0080,siteI_IIA,conf03,-12.472
PAPU-0081,siteI_IIA,conf01,-10.125
PAPU-0081,siteI_IIA,conf02,-10.506
PAPU-0084,siteI_IIA,conf01,-10.388
PAPU-0085,siteI_IIA,conf01,-11.819
PAPU-0085,siteI_IIA,conf02,-12.416
PAPU-0085,siteI_IIA,conf03,-11.607
PAPU-0086,siteI_IIA,conf01,-13.706
PAPU-0086,siteI_IIA,conf02,-10.604
PAPU-0086,siteI_IIA,conf03,-14.199
PAPU-0078,siteI_IIA,conf01,-12.948
PAPU-0078,siteI_IIA,conf02,-12.974
PAPU-0078,siteI_IIA,conf03,-12.417
PAPU-0083,siteI_IIA,conf01,-11.244
PAPU-0083,siteI_IIA,conf02,-12.074
PAPU-0083,siteI_IIA,conf03,-11.725
PAPU-0088,siteI_IIA,conf01,-12.435
PAPU-0088,siteI_IIA,conf02,-11.893
PAPU-0088,siteI_IIA,conf03,-12.344
PAPU-0076,siteI_IIA,conf01,-10.982
PAPU-0076,siteI_IIA,conf02,-11.562
PAPU-0076,siteI_IIA,conf03,-12.869
PAPU-0077,siteI_IIA,conf01,-12.457
PAPU-0077,siteI_IIA,conf02,-11.822
PAPU-0077,siteI_IIA,conf03,-11.757
PAPU-0082,siteI_IIA,conf01,-11.889
PAPU-0082,siteI_IIA,conf02,-13.223
PAPU-0082,siteI_IIA,conf03,-12.798
PAPU-0089,siteI_IIA,conf01,-13.187
PAPU-0089,siteI_IIA,conf02,-13.102
PAPU-0089,siteI_IIA,conf03,-13.22
PAPU-0090,siteI_IIA,conf01,-10.373
PAPU-0090,siteI_IIA,conf02,-10.748
PAPU-0090,siteI_IIA,conf03,-11.078
PAPU-0002,siteI_IIA,conf01,-11.789
PAPU-0002,siteI_IIA,conf02,-12.277
PAPU-0002,siteI_IIA,conf03,-12.266
PAPU-0066,siteI_IIA,conf01,-9.404
PAPU-0066,siteI_IIA,conf02,-9.411
PAPU-0066,siteI_IIA,conf03,-10.178
PAPU-0067,siteI_IIA,conf01,-12.732
PAPU-0067,siteI_IIA,conf02,-12.441
PAPU-0067,siteI_IIA,conf03,-12.011
PAPU-0071,siteI_IIA,conf01,-11.292
PAPU-0071,siteI_IIA,conf02,-11.316
PAPU-0071,siteI_IIA,conf03,-10.819
PAPU-0072,siteI_IIA,conf01,-12.253
PAPU-0072,siteI_IIA,conf02,-12.245
PAPU-0072,siteI_IIA,conf03,-12.14
PAPU-0073,siteI_IIA,conf01,-9.6
PAPU-0073,siteI_IIA,conf02,-9.499
PAPU-0073,siteI_IIA,conf03,-9.546
PAPU-0074,siteI_IIA,conf01,-12.626
PAPU-0074,siteI_IIA,conf02,-12.003
PAPU-0074,siteI_IIA,conf03,-10.324
PAPU-0075,siteI_IIA,conf01,-11.477
PAPU-0075,siteI_IIA,conf02,-9.173
PAPU-0079,siteI_IIA,conf01,-13.178
PAPU-0079,siteI_IIA,conf02,-12.395
PAPU-0079,siteI_IIA,conf03,-13.009
PAPU-0087,siteI_IIA,conf01,-11.217
PAPU-0087,siteI_IIA,conf02,-11.668
PAPU-0091,siteI_IIA,conf01,-13.355
PAPU-0091,siteI_IIA,conf02,-12.303
PAPU-0091,siteI_IIA,conf03,-12.136
PAPU-0080,siteII_IIIA,conf01,-11.277
PAPU-0080,siteII_IIIA,conf02,-12.005
PAPU-0080,siteII_IIIA,conf03,-12.096
PAPU-0081,siteII_IIIA,conf01,-11.558
PAPU-0081,siteII_IIIA,conf02,-11.286
PAPU-0084,siteII_IIIA,conf01,-11.162
PAPU-0085,siteII_IIIA,conf01,-11.925
PAPU-0085,siteII_IIIA,conf02,-12.928
PAPU-0085,siteII_IIIA,conf03,-12.719
PAPU-0086,siteII_IIIA,conf01,-11.728
PAPU-0086,siteII_IIIA,conf02,-11.193
PAPU-0086,siteII_IIIA,conf03,-11.775
PAPU-0078,siteII_IIIA,conf01,-12.095
PAPU-0078,siteII_IIIA,conf02,-12.187
PAPU-0078,siteII_IIIA,conf03,-12.726
PAPU-0083,siteII_IIIA,conf01,-12.113
PAPU-0083,siteII_IIIA,conf02,-12.664
PAPU-0083,siteII_IIIA,conf03,-12.782
PAPU-0088,siteII_IIIA,conf01,-12.307
PAPU-0088,siteII_IIIA,conf02,-12.159
PAPU-0088,siteII_IIIA,conf03,-12.026
PAPU-0076,siteII_IIIA,conf01,-11.939
PAPU-0076,siteII_IIIA,conf02,-12.339
PAPU-0076,siteII_IIIA,conf03,-12.05
PAPU-0077,siteII_IIIA,conf01,-11.911
PAPU-0077,siteII_IIIA,conf02,-12.332
PAPU-0077,siteII_IIIA,conf03,-12.333
PAPU-0082,siteII_IIIA,conf01,-11.983
PAPU-0082,siteII_IIIA,conf02,-13.271
PAPU-0082,siteII_IIIA,conf03,-12.109
PAPU-0089,siteII_IIIA,conf01,-11.451
PAPU-0089,siteII_IIIA,conf02,-11.33
PAPU-0089,siteII_IIIA,conf03,-11.389
PAPU-0090,siteII_IIIA,conf01,-11.569
PAPU-0090,siteII_IIIA,conf02,-12.182
PAPU-0090,siteII_IIIA,conf03,-11.299
PAPU-0002,siteII_IIIA,conf01,-11.838
PAPU-0002,siteII_IIIA,conf02,-12.236
PAPU-0002,siteII_IIIA,conf03,-12.192
PAPU-0066,siteII_IIIA,conf01,-11.66
PAPU-0066,siteII_IIIA,conf02,-11.611
PAPU-0066,siteII_IIIA,conf03,-11.755
PAPU-0067,siteII_IIIA,conf01,-12.688
PAPU-0067,siteII_IIIA,conf02,-12.456
PAPU-0067,siteII_IIIA,conf03,-11.762
PAPU-0071,siteII_IIIA,conf01,-11.944
PAPU-0071,siteII_IIIA,conf02,-12.167
PAPU-0071,siteII_IIIA,conf03,-11.648
PAPU-0072,siteII_IIIA,conf01,-12.41
PAPU-0072,siteII_IIIA,conf02,-11.799
PAPU-0072,siteII_IIIA,conf03,-12.457
PAPU-0073,siteII_IIIA,conf01,-12.178
PAPU-0073,siteII_IIIA,conf02,-12.107
PAPU-0073,siteII_IIIA,conf03,-12.047
PAPU-0074,siteII_IIIA,conf01,-12.576
PAPU-0074,siteII_IIIA,conf02,-12.508
PAPU-0074,siteII_IIIA,conf03,-13.822
PAPU-0075,siteII_IIIA,conf01,-11.957
PAPU-0075,siteII_IIIA,conf02,-11.325
PAPU-0079,siteII_IIIA,conf01,-12.427
PAPU-0079,siteII_IIIA,conf02,-12.074
PAPU-0079,siteII_IIIA,conf03,-11.915
PAPU-0087,siteII_IIIA,conf01,-13.057
PAPU-0087,siteII_IIIA,conf02,-12.414
PAPU-0091,siteII_IIIA,conf01,-13.828
PAPU-0091,siteII_IIIA,conf02,-12.252
PAPU-0091,siteII_IIIA,conf03,-14.834
