chemotype,compound,name,organism,serum_shift_fold,log2_serum_shift,shift_confidence,ppb_percent,fu_percent,mollogp,tpsa,mw,heavy_atoms,tpsa_per_heavy_atom,mollogp_per_heavy_atom,albicans_folds,allspecies_median,allspecies_n
papulacandin,PAPU-0080,Fusacandin analog 6j,Candida albicans,16.03,4.002702520379824,exact,,,1.392,341.51,1053.12,75,4.553,0.0186,,,
papulacandin,PAPU-0081,Fusacandin analog 6k,Candida albicans,16.03,4.002702520379824,exact,,,3.059,341.51,1129.22,81,4.216,0.0378,,,
papulacandin,PAPU-0084,Fusacandin analog 6n,Candida albicans,16.03,4.002702520379824,exact,,,1.401,350.74,1083.14,77,4.555,0.0182,,,
papulacandin,PAPU-0085,Fusacandin analog 6o,Candida albicans,16.03,4.002702520379824,exact,,,2.181,350.74,1111.2,79,4.44,0.0276,,,
papulacandin,PAPU-0086,Fusacandin analog 6p,Candida albicans,16.03,4.002702520379824,exact,,,2.569,350.74,1125.22,80,4.384,0.0321,,,
papulacandin,PAPU-0078,Fusacandin analog 6h,Candida albicans,32.05,5.002252451731379,exact,,,1.372,341.51,1051.1,75,4.553,0.0183,,,
papulacandin,PAPU-0083,Fusacandin analog 6m,Candida albicans,32.05,5.002252451731379,exact,,,1.954,341.51,1081.17,77,4.435,0.0254,,,
papulacandin,PAPU-0088,Fusacandin analog 6r,Candida albicans,16.03,4.002702520379824,exact,,,2.971,350.74,1159.24,83,4.226,0.0358,,,
papulacandin,PAPU-0076,Fusacandin analog 6f,Candida albicans,32.05,5.002252451731379,exact,,,0.878,341.51,1027.08,73,4.678,0.012,,,
papulacandin,PAPU-0077,Fusacandin analog 6g,Candida albicans,16.03,4.002702520379824,exact,,,0.878,341.51,1027.08,73,4.678,0.012,,,
papulacandin,PAPU-0082,Fusacandin analog 6l,Candida albicans,16.03,4.002702520379824,exact,,,1.517,350.74,1069.12,76,4.615,0.02,,,
papulacandin,PAPU-0089,Fusacandin analog 6s,Candida albicans,32.05,5.002252451731379,exact,,,1.401,350.74,1083.14,77,4.555,0.0182,,,
papulacandin,PAPU-0090,Fusacandin analog 6t,Candida albicans,8.0,3.0,exact,,,1.401,350.74,1083.14,77,4.555,0.0182,,,
papulacandin,PAPU-0002,Papulacandin B,Candida albicans,64.1,6.002252451731379,exact,,,2.812,271.59,901.01,64,4.244,0.0439,,,
papulacandin,PAPU-0066,Fusacandin A,Candida albicans,39.37,5.299024807384316,lower_bound,,,1.104,341.51,1023.13,72,4.743,0.0153,,,
papulacandin,PAPU-0067,Fusacandin B,Candida albicans,2.0,1.0,lower_bound,,,-2.14,335.44,872.91,61,5.499,-0.0351,,,
papulacandin,PAPU-0071,Fusacandin analog 6a,Candida albicans,64.1,6.002252451731379,lower_bound,,,1.494,341.51,1037.16,73,4.678,0.0205,,,
papulacandin,PAPU-0072,Fusacandin analog 6b,Candida albicans,1.0,0.0,lower_bound,,,-1.569,341.51,914.95,64,5.336,-0.0245,,,
papulacandin,PAPU-0073,Fusacandin analog 6c,Candida albicans,8.0,3.0,lower_bound,,,1.552,341.51,1027.16,72,4.743,0.0216,,,
papulacandin,PAPU-0074,Fusacandin analog 6d,Candida albicans,8.0,3.0,lower_bound,,,-0.275,341.51,977.02,69,4.949,-0.004,,,
papulacandin,PAPU-0075,Fusacandin analog 6e,Candida albicans,64.1,6.002252451731379,lower_bound,,,1.068,341.51,1033.13,73,4.678,0.0146,,,
papulacandin,PAPU-0079,Fusacandin analog 6i,Candida albicans,32.05,5.002252451731379,exact,,,2.031,341.51,1077.14,77,4.435,0.0264,,,
papulacandin,PAPU-0087,Fusacandin analog 6q,Candida albicans,4.0,2.0,exact,,,4.131,350.74,1181.33,84,4.175,0.0492,,,
papulacandin,PAPU-0091,Fusacandin analog 6u,Candida albicans,16.0,4.0,lower_bound,,,1.098,361.74,1069.12,76,4.76,0.0144,,,
echinocandin,ANIDULAFUNGIN,Anidulafungin,Candida albicans,16.0,4.0,median-of-isolates,84.0,0.01,-0.927,377.42,1140.25,82,4.603,-0.0113,16.0;256.0,32.0,33.0
echinocandin,CASPOFUNGIN,Caspofungin,Candida albicans,2.0,1.0,median-of-isolates,,,-3.312,412.03,1093.33,77,5.351,-0.043,1.0;2.0;8.0,4.0,19.0
echinocandin,CILOFUNGIN,Cilofungin,n/a,,,no serum-shift row,,,-3.091,377.42,1030.14,73,5.17,-0.0423,,,0.0
glucan-synthase (no lipid tail),ENFUMAFUNGIN,Enfumafungin,n/a,,,no serum-shift row,,,3.01,192.44,708.89,50,3.849,0.0602,,,0.0
glucan-synthase (no lipid tail),IBREXAFUNGERP,Ibrexafungerp,n/a,,,no serum-shift row,,,8.618,125.38,730.05,53,2.366,0.1626,,,0.0
echinocandin,MICAFUNGIN,Micafungin,Candida albicans,64.0,6.0,median-of-isolates,,,-3.902,510.14,1270.29,89,5.732,-0.0438,64.0;128.0,128.0,33.0
