branch,acyl_source,acyl_name,exposed_polar_fraction,exposed_hydrophobic_fraction,total_sasa,n_conf_ok,novelty,mw,clogp,inchikey,matches_known,smiles,serum_tolerance_reward,is_novel
notail,polaraxis,polaraxis_ax8_seryl,0.4763,0.5237,789.0,2,0.49,713.6,-7.38,PASMWBXIYZMAOG-RRTOEWFDSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)[C@@H](N)CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4763,True
notail,polaraxis,polaraxis_ax9_polyhydroxy,0.4715,0.5285,838.7,2,0.49,774.7,-8.62,OZZBDMLGERDAAY-QGEMDFNKSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)[C@H](O)[C@@H](O)[C@H](O)CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4715,True
notail,polaraxis,polaraxis_ax7_succinamoyl,0.4628,0.5372,812.5,2,0.471,725.7,-6.43,SQQNRECCLKASON-XVDYJLBTSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CCC(N)=O)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4628,True
notail,polaraxis,polaraxis_ax4_glycolyl,0.459,0.541,742.1,2,0.469,684.6,-6.7,XCKBIFULRTZHNS-WRMGPFAZSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.459,True
notail,polaraxis,polaraxis_ax6_carboxyethanoyl,0.4525,0.5475,798.0,2,0.466,726.6,-5.83,SNQKPCAZRKPESL-XVDYJLBTSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CCC(=O)O)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4525,True
notail,polaraxis,polaraxis_ax11_sulfobenzoyl,0.4454,0.5546,859.2,2,0.482,810.7,-5.14,SEUNWWKOAGNAGS-BWNSMLKKSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(S(=O)(=O)O)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4454,True
notail,polaraxis,polaraxis_ax5_diglycolyl,0.4328,0.5672,809.5,2,0.505,728.7,-6.69,QKZDPJHZDBLWTA-ZSWZUPCLSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)COCCO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4328,True
notail,polaraxis,polaraxis_ax3_4OH_benzoyl,0.4252,0.5748,816.7,2,0.423,746.7,-4.68,SOZLPGANPDITEX-BWNSMLKKSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4252,True
notail,polaraxis,polaraxis_ax10_aminomethylbenzoyl,0.4163,0.5837,842.8,2,0.455,759.7,-4.92,OLLIPCNDTCCSMV-UQVJUHIMSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(CN)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4163,True
notail,design,design_naphthoyl_6OH,0.4042,0.5958,867.2,2,0.435,796.7,-3.52,MPQVLIBPESRKBN-SLNSMJHASA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3cc(O)ccc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4042,True
notail,polaraxis,polaraxis_ax2_benzoyl,0.402,0.598,815.7,2,0.406,730.7,-4.38,CBEVNIPZISNLSH-BWNSMLKKSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.402,True
