branch,tail_name,is_native,exposed_polar_fraction,exposed_hydrophobic_fraction,exposed_hydrophobic_sasa,total_sasa,n_conf_ok,novelty,mw,clogp,inchikey,matches_known,smiles,tail_n_carbon,tail_n_O_N,tail_CC_double_bonds,tail_clogp,tail_tpsa,serum_tolerance_reward,is_novel
fatty_tail,C8_omega_sulfonate,False,0.3299,0.6701,775.7,1157.6,2,0.375,1013.0,-0.94,UPRHNZRELQVGEY-MBRJBCKXSA-N,,O=C(CCCCCCCS(=O)(=O)O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,8,4,0,1.29,71.4,0.3299,True
fatty_tail,oxa_PEG3,False,0.315,0.685,785.9,1147.3,2,0.369,981.0,-2.09,FDDBMEQJBKGIOZ-MBRJBCKXSA-N,,CCOCCOCCOCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,8,4,0,0.13,44.8,0.315,True
fatty_tail,mid_chain_diol_C12,False,0.3075,0.6925,830.3,1199.1,2,0.309,1007.0,-0.69,WWJRZCJPVVEOKK-UIPVXWCOSA-N,,CCCCC(O)CC(O)CCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,11,3,0,1.53,57.5,0.3075,True
fatty_tail,C12_omega_CONH2,False,0.3001,0.6999,842.5,1203.8,2,0.352,1018.1,0.22,ZLRJDFXITVCODS-KBOLYUIFSA-N,,NC(=O)CCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,12,3,0,2.45,60.2,0.3001,True
fatty_tail,C12_omega_COOH,False,0.2998,0.7002,843.3,1204.4,2,0.346,1019.1,0.82,BTJKVFBUGPMDMS-KBOLYUIFSA-N,,O=C(O)CCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,12,3,0,3.05,54.4,0.2998,True
fatty_tail,amide_split_C12,False,0.2936,0.7064,867.6,1228.2,2,0.336,1018.1,0.09,TZPSXTLCQQAZIF-KBOLYUIFSA-N,,CCCCCCNC(=O)CCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,12,3,0,2.32,46.2,0.2936,True
fatty_tail,C8_saturated,False,0.2924,0.7076,779.7,1101.9,2,0.279,933.0,0.2,XAYLRCPUEUXRIH-MBRJBCKXSA-N,,CCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,8,1,0,2.42,17.1,0.2924,True
fatty_tail,C12_omega_NH2,False,0.2861,0.7139,854.6,1197.1,2,0.358,1004.1,0.7,MPSHLSJBSJPZFR-KYAWKZMSSA-N,,NCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,12,2,0,2.92,43.1,0.2861,True
fatty_tail,C12_omega_CF3,False,0.2857,0.7143,840.4,1176.6,2,0.375,1015.0,1.52,IGDRLYHKRNSSMM-DGLZQNHNSA-N,,O=C(CCCCCCCCC(F)(F)F)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,10,1,0,3.75,17.1,0.2857,True
fatty_tail,C12_omega_OH,False,0.2817,0.7183,866.8,1206.7,2,0.34,1005.1,0.73,MDSLDVNMCDUPES-KYAWKZMSSA-N,,O=C(CCCCCCCCCCCO)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,12,2,0,2.96,37.3,0.2817,True
fatty_tail,C12_branched,False,0.2748,0.7252,881.3,1215.3,2,0.345,989.1,1.61,XAYDMWOKRSNCDL-DPTMQIJSSA-N,,CCCC(CC)CCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,12,1,0,3.84,17.1,0.2748,True
fatty_tail,native_C16_polyene,True,0.2739,0.7261,932.0,1283.4,2,0.0,1053.1,1.39,PXNMTNUVFFXMDM-RIRQAGSXSA-N,PAPU-0080,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,16,2,4,3.62,37.3,0.2739,False
fatty_tail,phosphocholine_like,False,0.2736,0.7264,943.3,1298.5,2,0.418,1128.1,-0.23,HGQOEUPTBGRTOC-BRGPHWETSA-N,,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,14,6,0,2.0,75.7,0.2736,True
fatty_tail,C12_saturated,False,0.268,0.732,881.1,1203.7,2,0.279,989.1,1.76,WXOVPEDMEHBLIC-KYAWKZMSSA-N,,CCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,12,1,0,3.98,17.1,0.268,True
fatty_tail,C16_saturated,False,0.2426,0.7574,973.7,1285.6,2,0.279,1045.2,3.32,WSBBEPTWDSZPEZ-OPLOGBFBSA-N,,CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,16,1,0,5.54,17.1,0.2426,True
