compound,tail_name,tail_n_carbon,n_conformers,hydrophobic_sasa_mean,polar_sasa_mean,hydrophobic_fraction_mean,d_hydrophobic_sasa,d_polar_sasa,d_hydrophobic_fraction,exposed_hydrophobic_fraction,verdict
t01_C8_omega_sulfonate,C8_omega_sulfonate,8,199,529.5,462.4,0.534,-92.8,11.4,-0.046,0.6701,improves vs native
t02_oxa_PEG3,oxa_PEG3,8,528,542.6,419.5,0.564,-79.7,-31.5,-0.016,0.685,improves vs native
t04_C12_omega_CONH2,C12_omega_CONH2,12,230,618.5,415.0,0.598,-3.8,-36.0,0.018,0.6999,no gain / worse
t03_mid_chain_diol_C12,mid_chain_diol_C12,11,185,604.2,393.7,0.605,-18.1,-57.3,0.025,0.6925,no gain / worse
t05_C12_omega_COOH,C12_omega_COOH,12,75,651.0,421.6,0.607,28.7,-29.4,0.027,0.7002,no gain / worse
t09_C12_omega_CF3,C12_omega_CF3,10,512,610.2,376.3,0.618,-12.1,-74.7,0.038,0.7143,no gain / worse
t07_C8_saturated,C8_saturated,8,203,593.8,341.4,0.635,-28.5,-109.6,0.055,0.7076,no gain / worse
t08_C12_omega_NH2,C12_omega_NH2,12,196,671.9,374.9,0.642,49.6,-76.1,0.062,0.7139,no gain / worse
t10_C12_omega_OH,C12_omega_OH,12,190,669.1,370.3,0.644,46.8,-80.7,0.064,0.7183,no gain / worse
t12_phosphocholine_like,phosphocholine_like,14,285,672.4,364.6,0.648,50.1,-86.4,0.068,0.7264,no gain / worse
t11_C12_branched,C12_branched,12,167,713.5,358.6,0.666,91.2,-92.4,0.086,0.7252,no gain / worse
t06_amide_split_C12,amide_split_C12,12,264,680.8,291.1,0.7,58.5,-159.9,0.12,0.7064,no gain / worse
