compound_id,name,compound_class,fks_likeness_score
PAPU-0087,Fusacandin analog 6q,fusacandin_derivative,0.392
PAPU-0085,Fusacandin analog 6o,fusacandin_derivative,0.3402
PAPU-0029,Papulacandin B 11-NHCOCH3 derivative,papulacandin_derivative,0.3397
PAPU-0082,Fusacandin analog 6l,fusacandin_derivative,0.3316
PAPU-0068,Saricandin,papulacandin_family_natural_product,0.3279
PAPU-0053,Papulacandin B 11-NH2 10-OCH3 derivative,papulacandin_derivative,0.3216
PAPU-0028,Papulacandin B 11-NHCOCH3 12-OCH3 derivative,papulacandin_derivative,0.3207
PAPU-0033,Papulacandin B 12-OCH2CH2CH2I derivative,papulacandin_derivative,0.3201
PAPU-0030,Papulacandin B 11-NHCOCH2NH2 derivative,papulacandin_derivative,0.3188
PAPU-0055,Papulacandin B 11-amino-imidazolidone derivative,papulacandin_derivative,0.3161
PAPU-0018,Papulacandin B 12-OCH2CH2CH3 derivative,papulacandin_derivative,0.3144
PAPU-0054,Papulacandin B 11-NHSO2CH3 derivative,papulacandin_derivative,0.3138
PAPU-0035,Papulacandin B 12-OCH2COCH3 derivative,papulacandin_derivative,0.3132
PAPU-0040,"Papulacandin B 10,12-di-OCH2COCH3 derivative",papulacandin_derivative,0.307
PAPU-0038,"Papulacandin B 10,12-di-OCH2CH2CH2I derivative",papulacandin_derivative,0.3061
PAPU-0019,"Papulacandin B 10,12-di-OCH2CH2CH3 derivative",papulacandin_derivative,0.3028
PAPU-0088,Fusacandin analog 6r,fusacandin_derivative,0.3006
PAPU-0130,Pestiorosin D,papulacandin_family_natural_product,0.2967
PAPU-0131,Pestiorosin E,papulacandin_family_natural_product,0.2967
PAPU-0137,"3-formylphenyl 2,3-di-O-[3-[(E-4-allyloxycinnamoyl)amino]benzoyl]-beta-D-glucopyranoside 20b",papulacandin_d_related_synthetic_analog,0.2938
PAPU-0021,Papulacandin B 12-OCH2COOH derivative,papulacandin_derivative,0.2936
PAPU-0034,Papulacandin B 12-p-nitrobenzyl ether,papulacandin_derivative,0.2921
PAPU-0041,"Papulacandin B 10,12-di-OCH2COOH derivative",papulacandin_derivative,0.2915
PAPU-0020,Papulacandin B 10-OCH2COCH3 derivative,papulacandin_derivative,0.2884
PAPU-0039,"Papulacandin B 10,12-di-p-nitrobenzyl ether",papulacandin_derivative,0.2872
PAPU-0031,Papulacandin B 12-OCH2CH3 derivative,papulacandin_derivative,0.2862
PAPU-0049,"Papulacandin B 11,13-dimorpholinomethylene derivative",papulacandin_derivative,0.2857
PAPU-0086,Fusacandin analog 6p,fusacandin_derivative,0.285
PAPU-0036,Papulacandin B 12-OCH2COOCH3 derivative,papulacandin_derivative,0.2815
PAPU-0089,Fusacandin analog 6s,fusacandin_derivative,0.28
PAPU-0044,Papulacandin B 10-OCH2COOCH2CH3 derivative,papulacandin_derivative,0.2793
PAPU-0134,Papulacandin F,papulacandin_family_natural_product,0.2783
PAPU-0084,Fusacandin analog 6n,fusacandin_derivative,0.2782
PAPU-0127,Pestiorosin A,papulacandin_family_natural_product,0.276
PAPU-0124,Pestiocandin,papulacandin_family_natural_product,0.276
PAPU-0016,Papulacandin B 12-OCH3 derivative,papulacandin_derivative,0.2736
PAPU-0026,Papulacandin B 11-CH2-piperazine-like derivative,papulacandin_derivative,0.2732
PAPU-0022,Papulacandin B 10-OCH2COOH derivative,papulacandin_derivative,0.2732
PAPU-0042,"Papulacandin B 10,12-di-OCH2COOCH3 derivative",papulacandin_derivative,0.2725
