qed,sa_score,sa_norm,design_rule_score,n_aromatic_rings_acyl,n_rotbond_acyl,acyl_has_polar,novelty,mw,clogp,ro5_pass,combined_score,acyl_source,acyl_name,inchikey,smiles,matches_known_compound,is_novel
0.028,6.23,0.419,0.812,2,1,True,0.13,1028.1,0.27,False,0.3958,design,quinolinecarbonyl,OYEMTMVRCOKRNI-YXDJGTFZSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3ncccc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.028,6.26,0.415,0.812,2,1,True,0.059,1043.1,0.58,False,0.3847,design,naphthoyl_6OH,GOYQMHFEUCGGQP-KNEYTPTNSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3cc(O)ccc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.027,6.24,0.417,0.743,2,2,True,0.078,1054.1,0.79,False,0.3633,design,pyridylphenyl,ZKSIBZPQXGITFB-XWHCRJSRSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccncc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.021,6.26,0.416,0.743,2,2,True,0.069,1068.1,0.97,False,0.3598,design,biphenyl_4NH2,MPDJPTYZSVDAJI-JULDFRIXSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(N)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.027,6.25,0.417,0.743,2,2,True,0.0,1069.1,1.1,False,0.3516,data,PAPU-0091,RNTWIGQXQMUZNI-JIBNUADJSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(O)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0090,False
0.026,6.38,0.402,0.689,2,3,True,0.128,1138.2,1.23,False,0.3486,design,biphenyl_4morpholine,CMVKLGKUXKPGQC-UULNQQJOSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(N4CCOCC4)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.024,6.34,0.407,0.689,2,3,True,0.095,1132.2,0.04,False,0.3441,design,biphenyl_4SO2NH2,HYHIGMJUYKCGGO-JIBNUADJSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(S(N)(=O)=O)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.025,6.29,0.412,0.689,2,3,True,0.059,1096.1,0.49,False,0.34,design,biphenyl_4CONH2,CSTBMWWRNSIENE-JCYLKBBXSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(C(N)=O)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.026,6.28,0.413,0.689,2,3,True,0.05,1097.1,1.09,False,0.339,design,biphenyl_4COOH,SKIQJCOTDVTJAU-JCYLKBBXSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(C(=O)O)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.025,6.33,0.408,0.647,2,4,True,0.076,1110.2,1.45,False,0.3268,design,biphenyl_4CH2NMe2,DHWLFAJUQSRFRL-IGDDTWJISA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(CN(C)C)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
