compound,n_conformers,energy_window_kcal,hydrophobic_sasa_mean,hydrophobic_sasa_std,polar_sasa_mean,total_sasa_mean,hydrophobic_fraction_mean,rg_mean,rg_std,asphericity_mean,compound_id,name,degenerate
PAPU-0080,597,6.0,622.3,18.8,451.0,1073.3,0.58,5.41,0.07,6.3,PAPU-0080,Fusacandin analog 6j,False
PAPU-0081,174,5.95,724.5,10.3,406.3,1130.8,0.641,5.56,0.08,8.21,PAPU-0081,Fusacandin analog 6k,False
PAPU-0084,132,5.85,808.4,7.0,321.6,1130.1,0.715,5.63,0.04,10.21,PAPU-0084,Fusacandin analog 6n,False
PAPU-0085,372,5.98,783.9,18.1,322.8,1106.7,0.708,5.44,0.06,10.31,PAPU-0085,Fusacandin analog 6o,False
PAPU-0086,254,5.99,787.2,24.0,396.6,1183.8,0.665,6.03,0.09,20.23,PAPU-0086,Fusacandin analog 6p,False
PAPU-0078,1,0.0,845.9,0.0,390.8,1236.8,0.684,6.26,0.0,14.77,PAPU-0078,Fusacandin analog 6h,True
PAPU-0083,231,5.96,712.9,10.3,376.6,1089.4,0.654,5.9,0.06,21.03,PAPU-0083,Fusacandin analog 6m,False
PAPU-0088,419,5.97,639.6,18.3,458.5,1098.1,0.582,5.59,0.06,10.64,PAPU-0088,Fusacandin analog 6r,False
PAPU-0076,468,5.99,714.8,18.5,314.1,1028.9,0.695,5.24,0.07,12.55,PAPU-0076,Fusacandin analog 6f,False
PAPU-0077,410,5.98,665.7,19.9,418.6,1084.2,0.614,5.73,0.03,17.32,PAPU-0077,Fusacandin analog 6g,False
PAPU-0082,395,5.99,696.6,15.1,358.2,1054.8,0.66,5.33,0.1,10.57,PAPU-0082,Fusacandin analog 6l,False
PAPU-0089,319,5.96,739.1,9.3,385.4,1124.6,0.657,5.49,0.06,6.18,PAPU-0089,Fusacandin analog 6s,False
PAPU-0090,364,5.96,686.7,53.2,434.9,1121.6,0.612,5.65,0.24,9.29,PAPU-0090,Fusacandin analog 6t,False
PAPU-0002,299,5.99,716.0,34.9,338.9,1054.9,0.678,5.59,0.14,13.23,PAPU-0002,Papulacandin B,False
PAPU-0066,187,5.97,671.1,8.8,361.3,1032.4,0.65,5.1,0.13,7.72,PAPU-0066,Fusacandin A,False
PAPU-0067,199,5.98,615.8,11.1,380.4,996.3,0.618,5.28,0.08,13.97,PAPU-0067,Fusacandin B,False
PAPU-0071,247,6.0,725.5,27.0,378.3,1103.8,0.658,5.88,0.13,19.64,PAPU-0071,Fusacandin analog 6a,False
PAPU-0072,195,5.96,576.9,9.2,416.5,993.4,0.581,5.28,0.04,12.27,PAPU-0072,Fusacandin analog 6b,False
PAPU-0073,188,6.0,720.9,16.7,350.0,1070.9,0.673,5.35,0.07,9.43,PAPU-0073,Fusacandin analog 6c,False
PAPU-0074,198,5.97,609.0,31.7,410.1,1019.1,0.597,5.48,0.16,15.71,PAPU-0074,Fusacandin analog 6d,False
PAPU-0075,319,5.99,663.9,10.6,378.1,1042.0,0.637,5.23,0.06,7.26,PAPU-0075,Fusacandin analog 6e,False
PAPU-0079,291,5.99,702.9,18.5,329.5,1032.4,0.681,5.33,0.04,9.43,PAPU-0079,Fusacandin analog 6i,False
PAPU-0087,187,5.93,873.6,28.5,331.6,1205.2,0.725,5.89,0.09,15.74,PAPU-0087,Fusacandin analog 6q,False
PAPU-0091,275,6.0,639.6,14.8,439.6,1079.1,0.593,5.47,0.06,8.57,PAPU-0091,Fusacandin analog 6u,False
