compound_id,canonical_name,compound_class,serum_tolerance_design_score,observed_serum_mic,synthesis_route_known,sar_exposure_positive_hits,modification_summary
PAPU-0008,Papulacandin B nona-acetate,papulacandin_derivative,2.522,(no serum data),no,0,nona-acetylation of Papulacandin B hydroxyl groups
PAPU-0088,Fusacandin analog 6r,fusacandin_derivative,2.337,=25,yes,0,benzyloxybiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0039,"Papulacandin B 10,12-di-p-nitrobenzyl ether",papulacandin_derivative,2.21,(no serum data),no,0,"10,12-di-p-nitrobenzyl ether"
PAPU-0081,Fusacandin analog 6k,fusacandin_derivative,2.163,=12.5,yes,0,terphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0091,Fusacandin analog 6u,fusacandin_derivative,1.932,>100,yes,0,hydroxybiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0082,Fusacandin analog 6l,fusacandin_derivative,1.88,=50,yes,0,phenoxyphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0090,Fusacandin analog 6t,fusacandin_derivative,1.872,=50,yes,0,methoxybiphenylcarbonyl regioisomer C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0084,Fusacandin analog 6n,fusacandin_derivative,1.872,=12.5,yes,0,methoxybiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0089,Fusacandin analog 6s,fusacandin_derivative,1.872,=50,yes,0,methoxybiphenylcarbonyl regioisomer C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0087,Fusacandin analog 6q,fusacandin_derivative,1.863,=100,yes,0,octyloxybiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0085,Fusacandin analog 6o,fusacandin_derivative,1.862,=12.5,yes,0,propoxybiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0086,Fusacandin analog 6p,fusacandin_derivative,1.86,=12.5,yes,0,isopropoxybiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0079,Fusacandin analog 6i,fusacandin_derivative,1.856,=100,yes,0,extended tricyclic aromatic C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0140,"4-formyl-2-methoxyphenyl 2,3-di-O-[3-[(E-4-allyloxycinnamoyl)amino]benzoyl]-4,6-O-benzylidene-beta-D-glucopyranoside 8.2",papulacandin_d_related_synthetic_intermediate,1.828,(no serum data),yes,0,"protected 2,3-diester side product; classical aryl O-glycoside; 4-formyl-2-methoxyphenyl aglycone; two aromatic cinnamoylamide benzoyl esters; 4,6-O-benzylidene acetal"
PAPU-0080,Fusacandin analog 6j,fusacandin_derivative,1.699,=12.5,yes,0,biphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0078,Fusacandin analog 6h,fusacandin_derivative,1.693,=25,yes,0,tricyclic fused aromatic C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0083,Fusacandin analog 6m,fusacandin_derivative,1.686,=25,yes,0,ethylbiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0136,"4-formyl-2-methoxyphenyl 2,3-di-O-[3-[(E-4-allyloxycinnamoyl)amino]benzoyl]-beta-D-glucopyranoside 19b",papulacandin_d_related_synthetic_analog,1.66,(no serum data),yes,0,di-cadeia 11 Papulacandin D analog; 4-formyl-2-methoxyphenyl aglycone; two aromatic cinnamoylamide benzoyl esters at glucose O-2 and O-3; classical aryl O-glycoside replaces spiroketal
PAPU-0076,Fusacandin analog 6f,fusacandin_derivative,1.53,=50,yes,0,naphthoyl-type fused aromatic C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0077,Fusacandin analog 6g,fusacandin_derivative,1.53,=50,yes,0,methyl-naphthoyl-type fused aromatic C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0137,"3-formylphenyl 2,3-di-O-[3-[(E-4-allyloxycinnamoyl)amino]benzoyl]-beta-D-glucopyranoside 20b",papulacandin_d_related_synthetic_analog,1.521,(no serum data),yes,0,di-cadeia 11 Papulacandin D analog; 3-formylphenyl aglycone; two aromatic cinnamoylamide benzoyl esters at glucose O-2 and O-3; classical aryl O-glycoside replaces spiroketal
PAPU-0056,Papulacandin B 6-tosyl derivative,papulacandin_derivative,1.303,(no serum data),no,0,6-tosyl intermediate
PAPU-0034,Papulacandin B 12-p-nitrobenzyl ether,papulacandin_derivative,1.29,(no serum data),no,0,12-p-nitrobenzyl ether
PAPU-0024,Papulacandin B 10-OCH2COOCH2CH(OH)CH2OH derivative,papulacandin_derivative,1.188,(no serum data),no,0,10-OCH2COOCH2CH(OH)CH2OH aromatic substitution
PAPU-0074,Fusacandin analog 6d,fusacandin_derivative,1.175,>100,yes,0,benzoyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0055,Papulacandin B 11-amino-imidazolidone derivative,papulacandin_derivative,1.162,(no serum data),yes,1,11-amino-(1-carboxamido-2-oxoimidazolinyl) substitution
PAPU-0042,"Papulacandin B 10,12-di-OCH2COOCH3 derivative",papulacandin_derivative,1.158,(no serum data),no,0,"10,12-di-OCH2COOCH3 aromatic ether"
PAPU-0075,Fusacandin analog 6e,fusacandin_derivative,1.158,>100,yes,0,p-butylbenzoyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0041,"Papulacandin B 10,12-di-OCH2COOH derivative",papulacandin_derivative,1.089,(no serum data),no,0,"10,12-di-OCH2COOH aromatic ether"
PAPU-0048,Papulacandin B 10-OCH2CO-thienyl derivative,papulacandin_derivative,1.089,(no serum data),no,0,10-OCH2CO-thienyl aromatic ether
PAPU-0062,Papulacandin B 6-succinyl derivative,papulacandin_derivative,0.999,(no serum data),yes,1,6-succinyl ester
PAPU-0060,Papulacandin B 6-N-methylthiotetrazolinyl derivative,papulacandin_derivative,0.984,(no serum data),no,0,6-dehydroxy-6-N-methylthiotetrazolinyl substitution
PAPU-0071,Fusacandin analog 6a,fusacandin_derivative,0.974,>100,yes,0,"E,E-decadienoyl C-6' ester; Fusacandin A C-3 side chain retained"
PAPU-0066,Fusacandin A,papulacandin_class_natural_product,0.972,>100,yes,0,natural fusacandin trisaccharide analog with C-1 ether and two lipophilic side chains
PAPU-0030,Papulacandin B 11-NHCOCH2NH2 derivative,papulacandin_derivative,0.968,(no serum data),no,0,11-NHCOCH2NH2 aromatic substitution
PAPU-0049,"Papulacandin B 11,13-dimorpholinomethylene derivative",papulacandin_derivative,0.948,(no serum data),no,0,"11,13-dimorpholinomethylene substitution"
PAPU-0054,Papulacandin B 11-NHSO2CH3 derivative,papulacandin_derivative,0.93,(no serum data),no,0,11-mesylamino substitution
PAPU-0038,"Papulacandin B 10,12-di-OCH2CH2CH2I derivative",papulacandin_derivative,0.907,(no serum data),no,0,"10,12-di-3-iodopropyl ether"
PAPU-0040,"Papulacandin B 10,12-di-OCH2COCH3 derivative",papulacandin_derivative,0.797,(no serum data),no,0,"10,12-di-OCH2COCH3 aromatic ether"
PAPU-0036,Papulacandin B 12-OCH2COOCH3 derivative,papulacandin_derivative,0.733,(no serum data),no,0,12-OCH2COOCH3 aromatic ether
PAPU-0023,Papulacandin B 10-OCH2COOCH3 derivative,papulacandin_derivative,0.733,(no serum data),no,0,10-OCH2COOCH3 aromatic substitution
PAPU-0044,Papulacandin B 10-OCH2COOCH2CH3 derivative,papulacandin_derivative,0.727,(no serum data),no,0,10-OCH2COOCH2CH3 aromatic ether
PAPU-0045,Papulacandin B 10-OCH2CONH2 derivative,papulacandin_derivative,0.725,(no serum data),no,0,10-OCH2CONH2 aromatic ether
PAPU-0029,Papulacandin B 11-NHCOCH3 derivative,papulacandin_derivative,0.711,(no serum data),no,0,11-NHCOCH3 aromatic substitution
PAPU-0021,Papulacandin B 12-OCH2COOH derivative,papulacandin_derivative,0.701,(no serum data),no,0,12-OCH2COOH aromatic substitution
PAPU-0022,Papulacandin B 10-OCH2COOH derivative,papulacandin_derivative,0.701,(no serum data),no,0,10-OCH2COOH aromatic substitution
PAPU-0046,Papulacandin B 10-OCH2CONHCH3 derivative,papulacandin_derivative,0.652,(no serum data),no,0,10-OCH2CONHCH3 aromatic ether
PAPU-0028,Papulacandin B 11-NHCOCH3 12-OCH3 derivative,papulacandin_derivative,0.652,(no serum data),no,0,11-NHCOCH3 plus 12-OCH3 aromatic substitution
PAPU-0026,Papulacandin B 11-CH2-piperazine-like derivative,papulacandin_derivative,0.62,(no serum data),no,0,11-CH2N heterocycle with NH shown in Table 2
PAPU-0051,Papulacandin B 11-morpholinomethylene derivative,papulacandin_derivative,0.61,(no serum data),no,0,11-morpholinomethylene substitution
PAPU-0047,Papulacandin B 10-OCH2CON(CH3)2 derivative,papulacandin_derivative,0.605,(no serum data),no,0,10-OCH2CON(CH3)2 aromatic ether
PAPU-0033,Papulacandin B 12-OCH2CH2CH2I derivative,papulacandin_derivative,0.602,(no serum data),no,0,12-3-iodopropyl ether
PAPU-0073,Fusacandin analog 6c,fusacandin_derivative,0.585,>100,yes,0,decanoyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0059,Papulacandin B 6-N-formylpiperazinyl derivative,papulacandin_derivative,0.565,(no serum data),no,0,6-dehydroxy-6-N-formylpiperazinyl substitution
PAPU-0072,Fusacandin analog 6b,fusacandin_derivative,0.559,>100,yes,0,acetyl C-6' ester; Fusacandin A C-3 side chain retained
PAPU-0061,Papulacandin B 6-acetyl derivative,papulacandin_derivative,0.559,(no serum data),no,0,6-acetyl ester
PAPU-0025,Papulacandin B 11-CH2-morpholine 12-OCH3 derivative,papulacandin_derivative,0.558,(no serum data),no,0,11-CH2 morpholine-like substitution plus 12-OCH3
PAPU-0035,Papulacandin B 12-OCH2COCH3 derivative,papulacandin_derivative,0.552,(no serum data),no,0,12-OCH2COCH3 aromatic ether
PAPU-0020,Papulacandin B 10-OCH2COCH3 derivative,papulacandin_derivative,0.552,(no serum data),yes,1,10-OCH2COCH3 aromatic substitution
PAPU-0014,Papulacandin B 6-OCH2COCH3 derivative,papulacandin_derivative,0.552,(no serum data),no,0,6-OCH2COCH3 substitution
PAPU-0057,Papulacandin B 6-azido derivative,papulacandin_derivative,0.519,(no serum data),no,0,6-dehydroxy-6-azido substitution
PAPU-0027,Papulacandin B 11-NH2 12-OCH3 derivative,papulacandin_derivative,0.508,(no serum data),no,0,11-NH2 plus 12-OCH3 aromatic substitution
PAPU-0053,Papulacandin B 11-NH2 10-OCH3 derivative,papulacandin_derivative,0.508,(no serum data),no,0,11-NH2 plus 10-OCH3
PAPU-0012,Papulacandin B 6-I derivative,papulacandin_derivative,0.443,(no serum data),no,0,iodine substitution at glucose position 6
PAPU-0052,Papulacandin B 11-piperidinomethylene derivative,papulacandin_derivative,0.429,(no serum data),no,0,11-piperidinomethylene substitution
PAPU-0050,Papulacandin B 11-dimethylaminomethylene 12-OCH3 derivative,papulacandin_derivative,0.385,(no serum data),no,0,11-dimethylaminomethylene plus 12-OCH3
PAPU-0015,Papulacandin B 6-CH2-morpholine derivative,papulacandin_derivative,0.379,(no serum data),no,0,6-CH2N morpholine-like substitution
PAPU-0058,Papulacandin B 6-N-methylpiperazinyl derivative,papulacandin_derivative,0.346,(no serum data),yes,1,6-dehydroxy-6-N-methylpiperazinyl substitution
PAPU-0068,Saricandin,papulacandin_family_natural_product,0.34,(no serum data),yes,0,novel papulacandin with cinnamyl short acyl ester and shared C16 hydroxy tetraenoic long acyl chain
PAPU-0064,BU-4794F,papulacandin_family_natural_product,0.324,(no serum data),yes,0,C10 side chain contains triene carbonyl and C16 side chain has additional C12 double bond versus L-687781; no C8 hydroxyl on C10 side chain and no C14 methyl on C16 side chain
PAPU-0003,Papulacandin C,papulacandin,0.312,(no serum data),no,0,natural short-chain variant
PAPU-0002,Papulacandin B,papulacandin,0.312,=100,no,1,main natural component
PAPU-0013,Papulacandin B 6-Br derivative,papulacandin_derivative,0.304,(no serum data),no,0,bromine substitution at glucose position 6
PAPU-0067,Fusacandin B,papulacandin_class_natural_product,0.287,>100,yes,0,natural Fusacandin B congener lacking the C-6' side chain relative to Fusacandin A
PAPU-0016,Papulacandin B 12-OCH3 derivative,papulacandin_derivative,0.251,(no serum data),yes,0,12-OCH3 aromatic substitution
PAPU-0043,Papulacandin B 10-OCH3 derivative,papulacandin_derivative,0.251,(no serum data),no,0,10-methyl ether
PAPU-0031,Papulacandin B 12-OCH2CH3 derivative,papulacandin_derivative,0.244,(no serum data),no,0,12-ethyl ether
PAPU-0018,Papulacandin B 12-OCH2CH2CH3 derivative,papulacandin_derivative,0.239,(no serum data),no,0,12-propyl ether aromatic substitution
PAPU-0017,"Papulacandin B 10,12-OCH3 derivative",papulacandin_derivative,0.192,(no serum data),no,0,"10,12-dimethoxy aromatic substitution"
PAPU-0138,"4-formyl-2-methoxyphenyl 3-O-[3-[(E-4-allyloxycinnamoyl)amino]benzoyl]-4,6-O-benzylidene-beta-D-glucopyranoside 8",papulacandin_d_related_synthetic_intermediate,0.185,(no serum data),yes,0,"protected precursor of Papulacandin D analog 1; classical aryl O-glycoside; 4-formyl-2-methoxyphenyl aglycone; 3-O aromatic cinnamoylamide benzoyl ester; 4,6-O-benzylidene acetal"
PAPU-0139,"4-formyl-2-methoxyphenyl 2-O-[3-[(E-4-allyloxycinnamoyl)amino]benzoyl]-4,6-O-benzylidene-beta-D-glucopyranoside 8.1",papulacandin_d_related_synthetic_intermediate,0.185,(no serum data),yes,0,"protected C2 regioisomer of compound 8; classical aryl O-glycoside; 4-formyl-2-methoxyphenyl aglycone; 2-O aromatic cinnamoylamide benzoyl ester; 4,6-O-benzylidene acetal"
PAPU-0019,"Papulacandin B 10,12-di-OCH2CH2CH3 derivative",papulacandin_derivative,0.182,(no serum data),no,0,"10,12-di-propyl ether aromatic substitution"
PAPU-0070,Furanocandin,papulacandin_family_natural_product,0.175,(no serum data),yes,0,chaetiacandin-type papulacandin lacking spirocyclic moiety and containing beta-D-galactofuranose
PAPU-0065,Mer-WF3010,papulacandin_family_natural_product,0.105,(no serum data),yes,0,new papulacandin-family member with C8 short side chain; treated as Papulacandin M / BU-4785F synonym pending final structure-paper review
PAPU-0063,"L-687,781",papulacandin_family_natural_product,0.102,(no serum data),yes,1,new papulacandin-family member from Dictyochaeta simplex
PAPU-0129,Pestiorosin C,papulacandin_family_natural_product,0.001,(no serum data),yes,0,non-spiro pestiocandin-like core with R1=C and R2=D; C-6' side chain includes a Z double bond
PAPU-0125,4-formyl-2-methoxyphenyl 3-O-[3-[(E-4-allyloxycinnamoyl)amino]benzoyl]-beta-D-glucopyranoside 1,papulacandin_d_related_synthetic_analog,-0.053,(no serum data),yes,0,para-allyloxycinnamoylaminobenzoyl aryl side-chain analog of Papulacandin D; classical aryl O-glycoside replaces spiroketal
PAPU-0126,4-formyl-2-methoxyphenyl 3-O-[3-[(E-3-allyloxycinnamoyl)amino]benzoyl]-beta-D-glucopyranoside 2,papulacandin_d_related_synthetic_analog,-0.053,(no serum data),yes,0,meta-allyloxycinnamoylaminobenzoyl aryl side-chain analog of Papulacandin D; classical aryl O-glycoside replaces spiroketal
PAPU-0132,Pestiorosin F,papulacandin_family_natural_product,-0.057,(no serum data),yes,0,spirocyclic papulacandin-type core with R1=C and R2=D; C-6' side chain includes a Z double bond
PAPU-0134,Papulacandin F,papulacandin_family_natural_product,-0.089,(no serum data),yes,0,new papulacandin-type spiroketal diglycoside with glucose C-3 hydroxy tetraenoic acyl chain and galactose C-6' hydroxy dodecenoic acyl chain
PAPU-0069,BE-29602,papulacandin_family_natural_product,-0.115,(no serum data),yes,0,"BE-29602/PF-1042 papulacandin with intact spirocyclic diglycoside, chaetiacandin-like C10 side chain, and demethylated C16 side chain relative to L-687781"
PAPU-0001,Papulacandin A,papulacandin,-0.13,(no serum data),no,0,natural short-chain variant
PAPU-0127,Pestiorosin A,papulacandin_family_natural_product,-0.241,(no serum data),yes,0,non-spiro pestiocandin-like core with R1=A and R2=D; C-6' side chain shorter than pestiocandin
PAPU-0124,Pestiocandin,papulacandin_family_natural_product,-0.263,(no serum data),yes,0,chaetiacandin-type papulacandin with beta-galactopyranose and two C12 unsaturated acyl esters; lacks spirocyclic moiety
PAPU-0131,Pestiorosin E,papulacandin_family_natural_product,-0.298,(no serum data),yes,0,spirocyclic papulacandin-type core with R1=A and R2=D; C-6' side chain shorter than pestiocandin/pestiorosin D
PAPU-0130,Pestiorosin D,papulacandin_family_natural_product,-0.321,(no serum data),yes,0,spirocyclic papulacandin-type core with R1=B and R2=D
PAPU-0092,Corynecandin,papulacandin_family_natural_product,-0.483,(no serum data),yes,0,new small papulacandin/chaetiacandin-type glycolipid with shortened C3 ester chain and two sugar units
PAPU-0133,Papulacandin G (Agudelo-Restrepo 2026),papulacandin_family_natural_product,-0.554,(no serum data),yes,0,new Mer-WF3010-related papulacandin with one polyunsaturated and one saturated fatty-acid residue; lacks the conjugated three-double-bond system in the C-6' short acyl chain
