compound_id,name,serumfree_mic_ugml,serum_mic_ugml,serum_mic_num,serum_shift_fold,modification_summary,synthesis_route_known
PAPU-0080,Fusacandin analog 6j,=0.78,=12.5,12.5,16.03,biphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0081,Fusacandin analog 6k,=0.78,=12.5,12.5,16.03,terphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0084,Fusacandin analog 6n,=0.78,=12.5,12.5,16.03,methoxybiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0085,Fusacandin analog 6o,=0.78,=12.5,12.5,16.03,propoxybiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0086,Fusacandin analog 6p,=0.78,=12.5,12.5,16.03,isopropoxybiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0078,Fusacandin analog 6h,=0.78,=25,25.0,32.05,tricyclic fused aromatic C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0083,Fusacandin analog 6m,=0.78,=25,25.0,32.05,ethylbiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0088,Fusacandin analog 6r,=1.56,=25,25.0,16.03,benzyloxybiphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0076,Fusacandin analog 6f,=1.56,=50,50.0,32.05,naphthoyl-type fused aromatic C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0077,Fusacandin analog 6g,=3.12,=50,50.0,16.03,methyl-naphthoyl-type fused aromatic C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0082,Fusacandin analog 6l,=3.12,=50,50.0,16.03,phenoxyphenylcarbonyl C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0089,Fusacandin analog 6s,=1.56,=50,50.0,32.05,methoxybiphenylcarbonyl regioisomer C-6' ester; Fusacandin A C-3 side chain retained,yes
PAPU-0090,Fusacandin analog 6t,=6.25,=50,50.0,8.0,methoxybiphenylcarbonyl regioisomer C-6' ester; Fusacandin A C-3 side chain retained,yes
