activity_id,compound_id,endpoint_type,endpoint_value,endpoint_relation,unit,converted_value_uM,p_activity,label_active_inactive,organism,strain,strain_genotype,resistance_marker,assay_method,medium,temperature_c,duration_h,inoculum,serum_or_protein,solvent,replicates,purity_percent,endpoint_definition,assay_confidence_score,reference_id,source_table_or_figure,source_quote,curation_status,comments
ACT-1977-TRAXLER-001,PAPU-0001,MIC,0.4,=,ug/mL,0.451,6.345,,Candida albicans,K335,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-002,PAPU-0002,MIC,0.1,=,ug/mL,0.111,6.954,,Candida albicans,K335,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-003,PAPU-0003,MIC,0.4,=,ug/mL,0.444,6.352,,Candida albicans,K335,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-004,PAPU-0004,MIC,6.2,=,ug/mL,10.801,4.967,,Candida albicans,K335,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-005,PAPU-0001,MIC,0.4,=,ug/mL,0.451,6.345,,Candida albicans,K341,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-006,PAPU-0002,MIC,0.1,=,ug/mL,0.111,6.954,,Candida albicans,K341,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-007,PAPU-0003,MIC,0.4,=,ug/mL,0.444,6.352,,Candida albicans,K341,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-008,PAPU-0004,MIC,6.2,=,ug/mL,10.801,4.967,,Candida albicans,K341,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-009,PAPU-0001,MIC,0.2,=,ug/mL,0.226,6.646,,Candida albicans,K1082,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-010,PAPU-0002,MIC,0.1,=,ug/mL,0.111,6.954,,Candida albicans,K1082,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-011,PAPU-0003,MIC,0.4,=,ug/mL,0.444,6.352,,Candida albicans,K1082,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-012,PAPU-0004,MIC,6.2,=,ug/mL,10.801,4.967,,Candida albicans,K1082,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-013,PAPU-0001,MIC,0.2,=,ug/mL,0.226,6.646,,Candida albicans,K1133,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-014,PAPU-0002,MIC,0.1,=,ug/mL,0.111,6.954,,Candida albicans,K1133,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-015,PAPU-0003,MIC,0.4,=,ug/mL,0.444,6.352,,Candida albicans,K1133,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-016,PAPU-0004,MIC,0.8,=,ug/mL,1.394,5.856,,Candida albicans,K1133,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-017,PAPU-0001,MIC,100,>,ug/mL,112.867,,,Candida guilliermondii,K334,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-018,PAPU-0002,MIC,100,>,ug/mL,111.111,,,Candida guilliermondii,K334,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-019,PAPU-0003,MIC,100,>,ug/mL,111.111,,,Candida guilliermondii,K334,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-020,PAPU-0004,MIC,100,>,ug/mL,174.216,,,Candida guilliermondii,K334,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-021,PAPU-0001,MIC,0.4,=,ug/mL,0.451,6.345,,Candida tropicalis,K337,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-022,PAPU-0002,MIC,0.1,=,ug/mL,0.111,6.954,,Candida tropicalis,K337,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-023,PAPU-0003,MIC,0.8,=,ug/mL,0.889,6.051,,Candida tropicalis,K337,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-024,PAPU-0004,MIC,1.6,=,ug/mL,2.787,5.555,,Candida tropicalis,K337,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-025,PAPU-0001,MIC,0.8,=,ug/mL,0.903,6.044,,Candida tropicalis,K1155,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
ACT-1977-TRAXLER-026,PAPU-0002,MIC,0.2,=,ug/mL,0.222,6.653,,Candida tropicalis,K1155,,,agar incorporation,,,,,,,,,MIC in mcg/ml,medium,PAPER-1977-TRAXLER,Table 3,Table 3 MIC values; agar incorporation method.,curated,Old assay format; organism names preserved as reported.
