compound_id,canonical_name,synonyms,compound_class,source_type,parent_scaffold,smiles_raw,smiles_canonical,inchikey,stereochemistry_status,structure_confidence,sugar_identity,galactose_present,spiroketal_status,long_acyl_chain_type,long_acyl_chain_length,long_acyl_double_bonds,long_acyl_geometry,short_acyl_chain_type,modification_site,modification_summary,mw_exact,clogp,tpsa,hbd,hba,rotb,fsp3,formal_charge,reference_id,source_table_or_figure,curation_status,notes
PAPU-0001,Papulacandin A,,papulacandin,natural,PapA_C_E,,CCCCC/C=C/C=C/C(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(=O)/C=C/C=C/C[C@H](O)/C(C)=C/C=C/CC[C@@H](C)CC)[C@@H](O)[C@@]3(OCc4cc(O)cc(O)c43)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,DPVWBQZOSHCQTG-NVTMJBNDSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,short unsaturated fatty acid residue,none,natural short-chain variant,886.4351,4.0655,251.3600,8,16,22,0.5745,0,PAPER-1977-TRAXLER;PAPER-1983-ROMMELE,Traxler 1977 Table 2; Rommele 1983 Fig. 1 and Table 1,curated,"Traxler 1977 reports formula C47H66O16 and MW 886. Rommele 1983 Fig. 1 shows structure and Table 1 gives ED50/MIC. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0002,Papulacandin B,,papulacandin,natural,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,UJLFRJFJTPPIOK-RBFGFFHTSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,none,main natural component,900.4144,2.8123,271.5900,9,17,21,0.5319,0,PAPER-1977-TRAXLER;PAPER-1979-BAGULEY;PAPER-1983-ROMMELE,Traxler 1977 Table 2; Baguley 1979 Fig. 1; Rommele 1983 Fig. 1 and Table 1,curated,"Traxler 1977 reports formula C47H64O17 and MW 900. Baguley 1979 and Rommele 1983 show structure and state glucose/galactose plus C16 and C10 unsaturated fatty-acid residues. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0003,Papulacandin C,,papulacandin,natural,PapA_C_E,,CCC(O)/C=C/C=C/C=C/C(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(=O)/C=C/C=C/C[C@H](O)/C(C)=C/C=C/CC[C@@H](C)CC)[C@@H](O)[C@@]3(OCc4cc(O)cc(O)c43)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,UJLFRJFJTPPIOK-JPWNLYTBSA-N,partial,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,short unsaturated fatty acid residue,none,natural short-chain variant,900.4144,2.8123,271.5900,9,17,21,0.5319,0,PAPER-1977-TRAXLER;PAPER-1983-ROMMELE,Traxler 1977 Table 2; Rommele 1983 Fig. 1 and Table 1,curated,"Traxler 1977 reports formula C47H64O17 and MW 900. Rommele 1983 Fig. 1 shows structure and Table 1 gives ED50/MIC. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0004,Papulacandin D,,papulacandin,natural,PapD,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,XKSZJTQIZHUMGA-HPZFVNCBSA-N,complete,medium,glucose,FALSE,intact,C16 unsaturated fatty acid residue,16,,,absent,galactose,lacks galactose and short fatty acid relative to Papulacandin B,574.2778,2.9977,166.1400,6,10,12,0.5161,0,PAPER-1977-TRAXLER;PAPER-1983-ROMMELE;PAPER-2026-AGUDELORESTREPO,Traxler 1977 Table 2; Rommele 1983 Fig. 2 and Table 1. Agudelo-Restrepo 2026 Figure 4; Table 4,curated,"Traxler 1977 reports formula C31H42O10 and MW 574. Rommele 1983 Fig. 2 shows Papulacandin D lacks galactose and short fatty acid but retains glucan ED50 and MIC activity. Agudelo-Restrepo 2026 re-isolated Papulacandin D as compound 3 from Garciamycella chlamydospora CBS 150388 and reported no activity under the Table 4 test conditions (MIC >66.6 ug/mL). RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0005,Papulacandin E,,papulacandin,natural,PapA_C_E,,,,unknown,low,unknown,unknown,unknown,unknown,,,,unknown,unknown,minor natural component; structure formula and MW not reported,,,,,,,,,PAPER-1977-TRAXLER,Traxler 1977 Table 2; Biological Properties,context_only_no_structure,Traxler 1977 lists Papulacandin E as a minor component with unknown formula and molecular weight; Table 3 has no E MIC column. Retained for literature traceability only and excluded from structure-aware modeling until an exact structure/source is found.
PAPU-0006,Tetradecahydropapulacandin B,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CCCCCC(C)[C@@H](O)CCCCCC(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)CCCCCC[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,LTVSTEQJBNACPC-MHCSNRQVSA-N,partial,medium,glucose;galactose,TRUE,intact,hydrogenated long and short fatty acid residues,,0,saturated or partially saturated,hydrogenated short fatty acid residue,multiple,hydrogenation of both fatty acid residues,914.5239,4.2362,271.5900,9,17,28,0.8298,0,PAPER-1983-ROMMELE,Table 1 compound 5,curated,"Paper compound 5. Tetradecahydropapulacandin B retains glucan-synthesis ED50 but loses whole-cell MIC activity. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0007,Octahydropapulacandin D,,papulacandin_d_derivative,semisynthetic,PapD,,CC[C@H](C)CCCCCC(C)[C@@H](O)CCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,RRDQKIGGPUSMHL-FBYGLFKUSA-N,partial,medium,glucose,FALSE,intact,hydrogenated long fatty acid residue,,0,saturated or partially saturated,absent,long_acyl,hydrogenation of Papulacandin D fatty acid residue,582.3404,3.7496,166.1400,6,10,16,0.7742,0,PAPER-1983-ROMMELE,Table 1 compound 6,curated,"Paper compound 6. Octahydropapulacandin D is less active than Papulacandin D. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0008,Papulacandin B nona-acetate,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@H](C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@@H](CC)OC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](COC(C)=O)O[C@]2(OCc3cc(OC(C)=O)cc(OC(C)=O)c32)[C@@H]1OC(C)=O)OC(C)=O,FMPTWLQSIAGQTF-QHMHCCEJSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,nona-acetylation of Papulacandin B hydroxyl groups,1278.5094,7.2473,326.2200,0,26,30,0.5231,0,PAPER-1983-ROMMELE,Table 1 compound 7,curated,"Paper compound 7. Nona-acetylation abolishes glucan-synthesis and MIC activity in Table 1. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0009,Papulacandin B degradation product I,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,VNFYFNLPMOCOBD-TZAINOEGSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue retained,16,,,absent,short_acyl,short fatty acid removed from Papulacandin B,736.3306,0.8219,245.2900,9,15,15,0.5946,0,PAPER-1983-ROMMELE,Fig. 3 and Table 1 compound 8,curated,"Paper compound 8. Degradation product I retains target-site ED50 but loses whole-cell MIC activity. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0010,Papulacandin B degradation product II,,papulacandin_derivative,semisynthetic,PapB,,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@]3(OCc4cc(O)cc(O)c43)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,GESDGDWRFZDQGV-PUQIDLHFSA-N,complete,medium,glucose;galactose,TRUE,intact,absent,,,,absent,multiple,both fatty acid residues removed from Papulacandin B,462.1373,-3.9212,218.9900,9,13,4,0.6842,0,PAPER-1983-ROMMELE,Fig. 3 and Table 1 compound 9,curated,"Paper compound 9. Removal of both fatty acid residues abolishes activity. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
