route_id,compound_id,route_type,starting_material,number_of_steps,key_reaction,reported_yield_percent,protecting_group_burden,purification_difficulty,scalability,route_confidence,chemist_review_status,reference_id,route_file,notes
ROUTE-1987-TRAXLER-001,PAPU-0016,semisynthetic,PAPU-0002,1,Ag2O mediated phenolic methylation with methyl iodide,,low,medium,small_scale,high,needs_review,PAPER-1987-TRAXLER,,Phenolic methylation gave 12-O-methyl 5a plus di-O-methyl 6a mixture; paper reports isolated masses not molar percent yield.
ROUTE-1987-TRAXLER-002,PAPU-0020,semisynthetic,PAPU-0034,2,12-p-nitrobenzyl protection then selective 10-O alkylation and deprotection,,medium,medium,small_scale,medium,needs_review,PAPER-1987-TRAXLER,,Representative route for 10-O derivatives such as 8f; protecting group strategy controls 10 versus 12 selectivity.
ROUTE-1987-TRAXLER-003,PAPU-0055,semisynthetic,PAPU-0002,4,11-amination followed by 11-aminoacyl coupling and deprotection,,high,high,small_scale,medium,needs_review,PAPER-1987-TRAXLER,,Representative route for 11-aminoacyl derivatives; paper reports 15c isolated mass from precursor 13b rather than percent yield.
ROUTE-1987-TRAXLER-004,PAPU-0058,semisynthetic,PAPU-0056,1,nucleophilic substitution of glucose 6-tosylate,,medium,medium,small_scale,medium,needs_review,PAPER-1987-TRAXLER,,Representative route for 6-substituted derivatives 17a through 17g; route depends on tosylate intermediate 16.
ROUTE-1987-TRAXLER-005,PAPU-0062,semisynthetic,PAPU-0002,3,persilylation followed by selective glucose 6-acylation and deprotection,,high,high,small_scale,medium,needs_review,PAPER-1987-TRAXLER,,Representative route for glucose 6-acyl derivatives 18a and 18b; 18b improves water solubility but has weak in vivo efficacy.
ROUTE-1991-VANMIDDLESWORTH-001,PAPU-0063,fermentation_isolation,Dictyochaeta simplex ATCC 20960,4,fermentation followed by mycelial MeOH extraction silica gel reverse phase chromatography and HPLC,,none,high,100L fermentation,high,needs_review,PAPER-1991-VANMIDDLESWORTH,,Titer reached about 105 mg/L at 192 h; mycelial cake from 100 L fermentation yielded ca. 10 g L-687781 in crude extract and 23 mg pure compound from 39 mg rich-cut HPLC portion.
ROUTE-1993-AOKI-001,PAPU-0064,fermentation_isolation,Gilmaniella sp. FA4459,6,fermentation followed by mycelial methanol extraction ethyl acetate extraction silica gel chromatography second silica gel chromatography and reverse-phase ODS chromatography,,none,high,18 L shake-flask fermentation,high,needs_review,PAPER-1993-AOKI,,"Fermented broth 18 L yielded 6.7 g crude solid, 100 mg active solid, 50 mg semi-pure solid, and 30.5 mg pure BU-4794F."
ROUTE-1993-KANETO-001,PAPU-0065,fermentation_isolation,Phialophora cyclaminis Mer-WF3010 FERM P-11475,5,10 L jar fermentation followed by mycelial methanol extraction ethyl acetate extraction silica gel chromatography second silica gel chromatography and Sephadex LH-20 chromatography,,none,high,5 L jar fermentation,high,needs_review,PAPER-1993-KANETO,,Mycelial cake from 48 h culture was methanol extracted; final purification on Sephadex LH-20 using methanol gave 30 mg colorless Mer-WF3010 powder.
ROUTE-1995-JACKSON-001,PAPU-0066,fermentation_isolation,Fusarium sambucinum AB1900A-1314 NRRL 21252,4,seed train followed by 5000 L production fermentation harvested at 114 h and HPLC-monitored extraction,60 mg/L,none,high,5000 L fermentation; reported 100-gram quantities,high,needs_review,PAPER-1995-JACKSON,,Paper I reports fermentation conditions and 60 mg/L Fusacandin A; isolation and structural elucidation are in companion paper II.
ROUTE-1995-JACKSON-002,PAPU-0067,fermentation_isolation,Fusarium sambucinum AB1900A-1314 NRRL 21252,4,kiloliter-scale fermentation allowed detection of minor Fusacandin B congener,,none,high,minor congener in scale-up fermentation,medium,needs_review,PAPER-1995-JACKSON,,Fusacandin B was produced in minor amounts and detected only on scale-up to kiloliter fermentations; no independent yield is tabulated in paper I.
ROUTE-1996-CHEN-001,PAPU-0068,fermentation_isolation,Fusarium sp. AB2202W-161 NRRL 25158,5,solid-state fermentation on shredded wheat followed by solvent extraction countercurrent chromatography LH-20 and coil centrifuge purification,,none,high,three 20 L carboys; isolated 1.4 mg saricandin from active pool,high,needs_review,PAPER-1996-CHEN,,Solid-state fermentation at 20 C for 21 days; active fractions yielded 1.4 mg compound 1 after multiple chromatography steps.
ROUTE-1996-CHEN-002,PAPU-0069,fermentation_isolation,Fusarium sp. AB2202W-161 NRRL 25158,5,solid-state fermentation on shredded wheat followed by solvent extraction countercurrent chromatography and LH-20 purification,,none,high,three 20 L carboys; isolated 30 mg plus additional 22 mg PF-1042,high,needs_review,PAPER-1996-CHEN,,PF-1042/BE-29602 was co-produced and isolated in larger amount than saricandin under this fermentation.
