method,template,source,mode,pose,vina_kcal,cnn_score,cnn_affinity,diffdock_conf
vina,9WZU_apo,denovo,denovo,best,-7.266,,,
vina,apo_8WL6,denovo,denovo,best,-8.153,,,
vina,caspo_T2,denovo,denovo,best,-9.597,,,
gnina,9WZU_apo,denovo,denovo,rank1,-7.94953,0.5088002086,6.8409218788,
gnina,9WZU_apo,denovo,denovo,rank2,-7.99457,0.4536744654,6.5131449699,
gnina,9WZU_apo,denovo,denovo,rank3,-7.78130,0.4196600616,7.5045304298,
gnina,9WZU_apo,denovo,denovo,rank4,-7.73463,0.3909717500,6.2952709198,
gnina,9WZU_apo,denovo,denovo,rank5,-8.43167,0.3263552189,5.9749798775,
gnina,9WZU_apo,denovo,denovo,rank6,-8.29849,0.3182505369,6.1611118317,
gnina,9WZU_apo,denovo,denovo,rank7,-7.61495,0.3045422137,6.5090141296,
gnina,9WZU_apo,denovo,denovo,rank8,-7.93403,0.2869473100,6.6953101158,
gnina,9WZU_apo,denovo,denovo,rank9,-7.94511,0.2708521485,6.6348743439,
gnina,9WZU_apo,denovo,denovo,rank10,-8.26516,0.2531124055,6.1328034401,
gnina,9WZU_apo,denovo,denovo,rank11,-7.88686,0.2360482514,5.9128222466,
gnina,9WZU_apo,denovo,denovo,rank12,-8.24249,0.2309399396,6.9118881226,
gnina,9WZU_apo,denovo,denovo,rank13,-8.75520,0.2174005210,6.2228646278,
gnina,9WZU_apo,denovo,denovo,rank14,-7.80883,0.2146292180,6.2266411781,
gnina,9WZU_apo,denovo,denovo,rank15,-8.37418,0.2122013569,5.4180140495,
gnina,9WZU_apo,denovo,denovo,rank16,-7.72370,0.2072632015,5.7828559875,
gnina,9WZU_apo,denovo,denovo,rank17,-7.62949,0.2046747059,6.0807933807,
gnina,9WZU_apo,denovo,denovo,rank18,-7.84701,0.2039171159,6.4903945923,
gnina,9WZU_apo,denovo,denovo,rank19,-7.98413,0.1998068839,5.4839644432,
gnina,9WZU_apo,denovo,denovo,rank20,-8.03339,0.1841402352,6.2023367882,
gnina,apo_8WL6,denovo,denovo,rank1,-7.71658,0.2421930134,5.7020812035,
gnina,apo_8WL6,denovo,denovo,rank2,-8.20162,0.1965515912,4.8540973663,
gnina,apo_8WL6,denovo,denovo,rank3,-8.14649,0.1799081117,5.3932909966,
gnina,apo_8WL6,denovo,denovo,rank4,-8.21522,0.1574401855,5.0342459679,
