external_compound_id,preferred_name,compound_family,mechanism_class,target_relevance_tier,activity_relevance_tier,include_in_tier1_fks_set,include_in_tier2_cell_wall_set,use_for_pretraining,direct_fks,broad_antifungal,cell_wall_related,candidate_activity_rows,unique_source_reference_count,has_structure,has_inchikey,known_fks_family,review_priority,recommended_review_action,source_ids,smiles_canonical,inchikey
EXT-FKS-0001,CASPOFUNGIN,echinocandin,broad_antifungal_or_fks_family,Tier 1,broad_antifungal;cell_wall_related;direct_fks,candidate_review,candidate_review,candidate_review,53,757,7,817,741,yes,yes,yes,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1630575,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,JYIKNQVWKBUSNH-WVDDFWQHSA-N
EXT-FKS-0002,ANIDULAFUNGIN,echinocandin,broad_antifungal_or_fks_family,Tier 1,broad_antifungal;direct_fks,candidate_review,candidate_review,candidate_review,52,731,0,783,752,yes,yes,yes,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL264241,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,JHVAMHSQVVQIOT-MFAJLEFUSA-N
EXT-FKS-0003,MICAFUNGIN,echinocandin,broad_antifungal_or_fks_family,Tier 1,broad_antifungal;direct_fks,candidate_review,candidate_review,candidate_review,47,660,0,707,600,yes,yes,yes,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL457547,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,PIEUQSKUWLMALL-YABMTYFHSA-N
EXT-FKS-0023,ENFUMAFUNGIN,enfumafungin,broad_antifungal_or_fks_family,Tier 1,broad_antifungal;direct_fks,candidate_review,candidate_review,candidate_review,3,23,0,26,26,yes,yes,yes,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL2165734,CC(=O)O[C@@H]1C[C@]23C4=CC[C@@]5(C)[C@H](C(=O)O)[C@@](C)([C@H](C)C(C)C)CC[C@]5(C)[C@H]4CC[C@H]2[C@@](C)(COC3O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,IAOFPTKYKOAKGZ-CRWQHXLTSA-N
EXT-FKS-0017,ACULEACIN A,aculeacin,broad_antifungal_or_fks_family,Tier 1,broad_antifungal;direct_fks,candidate_review,candidate_review,candidate_review,2,30,0,32,32,yes,yes,yes,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1253515,CCCCCCCCCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,YKPHLXGEPNYRPY-ZIUFDZNVSA-N
EXT-FKS-0022,CHEMBL3037784,echinocandin,broad_antifungal_or_fks_family,Tier 1,broad_antifungal;direct_fks,candidate_review,candidate_review,candidate_review,2,25,0,27,17,yes,yes,yes,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL3037784,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DQXPFAADCTZLNL-FXDJFZINSA-N
EXT-FKS-0026,URIDINE DIPHOSPHATE GLUCOSE,mixed_fks,fks_context_or_family,Tier 1,broad_antifungal;direct_fks,candidate_review,candidate_review,candidate_review,2,26,0,28,14,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL375951,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,HSCJRCZFDFQWRP-JZMIEXBBSA-N
EXT-FKS-0121,CHEMBL1684737,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,2,0,0,2,2,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1684737,O=c1c(N2CCOCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,PZXJUKQCRGDEMC-UHFFFAOYSA-N
EXT-FKS-0122,CHEMBL1684744,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,2,0,0,2,2,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1684744,CCOCCOc1c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn(-c2ccccc2)c1=O,XNZIFXFXKFOZAJ-UHFFFAOYSA-N
EXT-FKS-0123,CHEMBL1770510,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,2,0,0,2,2,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770510,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1cccc(Cl)c1,NNOUVVCIUCZWGO-UHFFFAOYSA-N
