source_id,source_type,source_name,source_database,source_url,search_query,download_date,download_file,license_or_terms_note,inclusion_summary,exclusion_summary,curator_note
EXTSRC-000001,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-001; caspofungin; molecule_search_SEED-001_caspofungin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-001_caspofungin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000002,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-002; micafungin; molecule_search_SEED-002_micafungin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-002_micafungin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000003,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-003; anidulafungin; molecule_search_SEED-003_anidulafungin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-003_anidulafungin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000004,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-004; rezafungin; molecule_search_SEED-004_rezafungin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-004_rezafungin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000005,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-005; cilofungin; molecule_search_SEED-005_cilofungin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-005_cilofungin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000006,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-006; echinocandin B; molecule_search_SEED-006_echinocandin_B.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-006_echinocandin_B.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000007,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-007; pneumocandin B0; molecule_search_SEED-007_pneumocandin_B0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-007_pneumocandin_B0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000008,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-008; aculeacin A; molecule_search_SEED-008_aculeacin_A.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-008_aculeacin_A.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000009,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-009; mulundocandin; molecule_search_SEED-009_mulundocandin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-009_mulundocandin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000010,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-010; enfumafungin; molecule_search_SEED-010_enfumafungin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-010_enfumafungin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
