source_compound_id,preferred_name,smiles_canonical,inchikey,chembl_molecule_type,chembl_max_phase,chembl_black_box_warning,chembl_natural_product,mw_band,chembl_mw_freebase,background_source_note,canonical_smiles_rdkit,inchikey_rdkit,molecular_formula,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,mol_wt_rdkit,clogp_rdkit,mol_mr_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,aliphatic_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_total_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit
CHEMBL6329,CHEMBL6329,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,OWRSAHYFSSNENM-UHFFFAOYSA-N,Small molecule,,0,0,150-400,341.75,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,OWRSAHYFSSNENM-UHFFFAOYSA-N,C17H12ClN3O3,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,45,341.056718924,341.754,2.113619999999999,90.07620000000001,84.82,1,4,3,24,7,3,3,0,0.058823529411764705,0,0,0,0
CHEMBL6328,CHEMBL6328,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,ZJYUMURGSZQFMH-UHFFFAOYSA-N,Small molecule,,0,0,150-400,332.32,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,ZJYUMURGSZQFMH-UHFFFAOYSA-N,C18H12N4O3,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,46,332.090940244,332.3190000000001,1.3318999999999996,89.7812,108.60999999999999,1,5,3,25,7,3,3,0,0.05555555555555555,0,0,0,0
CHEMBL265667,CHEMBL265667,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,YOMWDCALSDWFSV-UHFFFAOYSA-N,Small molecule,,0,0,150-400,357.80,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,YOMWDCALSDWFSV-UHFFFAOYSA-N,C18H16ClN3O3,O=c1cnn(-c2ccc(Cc3ccccc3)cc2)c(=O)[nH]1,43,357.088019052,357.797,2.2727399999999998,95.44250000000001,87.98,2,4,3,25,7,3,3,0,0.16666666666666666,0,1,0,1
CHEMBL6362,CHEMBL6362,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,PSOPUAQFGCRDIP-UHFFFAOYSA-N,Small molecule,,0,0,150-400,307.31,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,PSOPUAQFGCRDIP-UHFFFAOYSA-N,C17H13N3O3,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,35,307.095691276,307.309,1.4602199999999999,85.0662,84.82,1,4,3,23,6,3,3,0,0.058823529411764705,0,0,0,0
CHEMBL267864,CHEMBL267864,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,KEZNSCMBVRNOHO-UHFFFAOYSA-N,Small molecule,,0,0,150-400,341.75,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,KEZNSCMBVRNOHO-UHFFFAOYSA-N,C17H12ClN3O3,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,43,341.056718924,341.754,2.113619999999999,90.0762,84.82,1,4,3,24,7,3,3,0,0.058823529411764705,0,0,0,0
CHEMBL6363,CHEMBL6363,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,ZKEKOOJDMYTEMP-UHFFFAOYSA-N,Small molecule,,0,0,150-400,307.31,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,ZKEKOOJDMYTEMP-UHFFFAOYSA-N,C17H13N3O3,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,42,307.095691276,307.309,1.4602199999999996,85.06620000000001,84.82,1,4,3,23,6,3,3,0,0.058823529411764705,0,0,0,0
CHEMBL6352,CHEMBL6352,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,OKZQSFTUAACQQS-UHFFFAOYSA-N,Small molecule,,0,0,400-600,420.65,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,OKZQSFTUAACQQS-UHFFFAOYSA-N,C17H11BrClN3O3,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,47,418.967230992,420.6500000000001,2.876120000000001,97.77620000000002,84.82,1,4,3,25,8,3,3,0,0.058823529411764705,0,0,0,0
CHEMBL266457,CHEMBL266457,CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,NKQAZJTVQHGKAX-UHFFFAOYSA-N,Small molecule,,0,0,400-600,405.82,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,NKQAZJTVQHGKAX-UHFFFAOYSA-N,C17H12ClN3O5S,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,48,405.018619164,405.8190000000001,1.2087,98.449,118.95999999999998,1,6,4,27,10,3,3,0,0.058823529411764705,0,0,0,0
CHEMBL414196,CHEMBL414196,COc1cc2nc(N3CCN(C(=O)C4CC4c4ccccc4)CC3)nc(N)c2cc1OC,QSRCXSDOJVDQBI-UHFFFAOYSA-N,Small molecule,,0,0,400-600,433.51,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,COc1cc2nc(N3CCN(C(=O)C4CC4c4ccccc4)CC3)nc(N)c2cc1OC,QSRCXSDOJVDQBI-UHFFFAOYSA-N,C24H27N5O3,O=C(C1CC1c1ccccc1)N1CCN(c2ncc3ccccc3n2)CC1,54,433.211389724,433.5120000000002,2.6815000000000007,123.13740000000004,93.81,1,7,5,32,8,5,3,2,0.375,0,2,0,2
CHEMBL112998,CHEMBL112998,COc1cc2nc(N3CCN(S(=O)(=O)c4cccs4)CC3)nc(N)c2cc1OC,RYVAEGMROPOPOW-UHFFFAOYSA-N,Small molecule,,0,0,400-600,435.53,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,COc1cc2nc(N3CCN(S(=O)(=O)c4cccs4)CC3)nc(N)c2cc1OC,RYVAEGMROPOPOW-UHFFFAOYSA-N,C18H21N5O4S2,O=S(=O)(c1cccs1)N1CCN(c2ncc3ccccc3n2)CC1,51,435.10349615200005,435.53100000000023,1.8016,112.34520000000003,110.88,1,9,5,29,11,4,3,1,0.3333333333333333,0,0,0,0
CHEMBL6354,CHEMBL6354,Nc1cc[n+](Cc2cccc(-c3cccc(C[n+]4ccc(N)c5ccccc54)c3)c2)c2ccccc12,CKEYKKQODPYQPS-UHFFFAOYSA-P,Small molecule,,0,0,400-600,468.60,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Nc1cc[n+](Cc2cccc(-c3cccc(C[n+]4ccc(N)c5ccccc54)c3)c2)c2ccccc12,CKEYKKQODPYQPS-UHFFFAOYSA-P,C32H28N4+2,c1cc(C[n+]2cccc3ccccc32)cc(-c2cccc(C[n+]3cccc4ccccc43)c2)c1,33,468.23029973618003,468.6040000000002,5.496000000000005,147.1927999999998,59.8,2,2,5,36,4,6,6,0,0.0625,2,0,0,0
CHEMBL429017,CHEMBL429017,Nc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,SSYLZSFCNUGCEN-UHFFFAOYSA-P,Small molecule,,0,0,400-600,496.66,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Nc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,SSYLZSFCNUGCEN-UHFFFAOYSA-P,C34H32N4+2,c1ccc2c(c1)ccc[n+]2Cc1ccc(CCc2ccc(C[n+]3cccc4ccccc43)cc2)cc1,30,496.26159986418,496.6580000000002,5.614200000000005,155.60679999999968,59.8,2,2,7,38,4,6,6,0,0.11764705882352941,2,0,0,0
CHEMBL6361,CHEMBL6361,Nc1cc[n+](Cc2ccc(/C=C\c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,VERLYKWASWBHLC-KTKRTIGZSA-P,Small molecule,,0,0,400-600,494.64,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Nc1cc[n+](Cc2ccc(/C=C\c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,VERLYKWASWBHLC-KTKRTIGZSA-P,C34H30N4+2,C(=C/c1ccc(C[n+]2cccc3ccccc32)cc1)/c1ccc(C[n+]2cccc3ccccc32)cc1,33,494.24594980018003,494.6420000000002,5.999400000000005,157.12679999999966,59.8,2,2,6,38,4,6,6,0,0.058823529411764705,2,0,0,0
