external_activity_id,external_compound_id,preferred_name,endpoint_type,endpoint_value,endpoint_relation,unit,converted_value_uM,p_activity,organism,strain,target_name,target_gene,target_organism,assay_type,assay_method,assay_context,serum_or_protein,medium,duration_h,temperature_c,endpoint_definition,target_confidence,mechanism_confidence,activity_relevance_tier,source_id,source_database,source_reference,source_quote,curation_status,comments
EXT-ACT-000020,EXT-FKS-0142,CHEMBL396608,IC50,15000.0,=,nM,15.0,4.823909,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000021,EXT-FKS-0158,CHEMBL438668,IC50,41000.0,=,nM,41.0,4.387216,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000022,EXT-FKS-0141,CHEMBL396607,IC50,49000.0,>,nM,49.0,4.309804,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000023,EXT-FKS-0147,CHEMBL412243,IC50,48000.0,>,nM,48.0,4.318759,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000024,EXT-FKS-0111,CHEMBL1254586,IC50,53000.0,=,nM,53.0,4.275724,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000025,EXT-FKS-0112,CHEMBL1254587,IC50,81000.0,>,nM,81.0,4.091515,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000026,EXT-FKS-0113,CHEMBL1254665,IC50,65000.0,>,nM,65.0,4.187087,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000027,EXT-FKS-0114,CHEMBL1254666,IC50,63000.0,>,nM,63.0,4.200659,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000028,EXT-FKS-0115,CHEMBL1254748,IC50,22000.0,=,nM,22.0,4.657577,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000029,EXT-FKS-0116,CHEMBL1254749,IC50,84000.0,>,nM,84.0,4.075721,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
