external_compound_id,preferred_name,compound_family,strict_inclusion_class,direct_fks_inhibitory_evidence_rows,all_candidate_activity_rows_for_included_compound,mechanism_scope,fks1_specificity,smiles_canonical,inchikey,source_ids,manual_decision,manual_note,review_priority
EXT-FKS-0001,CASPOFUNGIN,echinocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,53,817,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,JYIKNQVWKBUSNH-WVDDFWQHSA-N,ChEMBL:CHEMBL1630575,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0002,ANIDULAFUNGIN,echinocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,52,783,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,JHVAMHSQVVQIOT-MFAJLEFUSA-N,ChEMBL:CHEMBL264241,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0003,MICAFUNGIN,echinocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,47,707,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,PIEUQSKUWLMALL-YABMTYFHSA-N,ChEMBL:CHEMBL457547,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0023,ENFUMAFUNGIN,enfumafungin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,3,26,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CC(=O)O[C@@H]1C[C@]23C4=CC[C@@]5(C)[C@H](C(=O)O)[C@@](C)([C@H](C)C(C)C)CC[C@]5(C)[C@H]4CC[C@H]2[C@@](C)(COC3O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,IAOFPTKYKOAKGZ-CRWQHXLTSA-N,ChEMBL:CHEMBL2165734,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0017,ACULEACIN A,aculeacin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,32,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCCCCCCCCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,YKPHLXGEPNYRPY-ZIUFDZNVSA-N,ChEMBL:CHEMBL1253515,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0022,CHEMBL3037784,echinocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,27,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DQXPFAADCTZLNL-FXDJFZINSA-N,ChEMBL:CHEMBL3037784,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0121,CHEMBL1684737,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,O=c1c(N2CCOCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,PZXJUKQCRGDEMC-UHFFFAOYSA-N,ChEMBL:CHEMBL1684737,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0122,CHEMBL1684744,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCOCCOc1c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn(-c2ccccc2)c1=O,XNZIFXFXKFOZAJ-UHFFFAOYSA-N,ChEMBL:CHEMBL1684744,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0123,CHEMBL1770510,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1cccc(Cl)c1,NNOUVVCIUCZWGO-UHFFFAOYSA-N,ChEMBL:CHEMBL1770510,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0131,CHEMBL3693938,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,N[C@H]1CCN(C(=O)CN(C(=O)/C=C/c2ccccc2)c2ccc(-c3cccc(OC(F)(F)F)c3)cc2)C1,TYJKNXHZVFQDKO-PZVJUEDKSA-N,ChEMBL:CHEMBL3693938,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0132,CHEMBL3693939,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCc1cccc(-c2ccc(N(CC(=O)N3CC[C@H](N)C3)C(=O)/C=C/c3ccccc3)cc2)c1,ANCHRWLPDXHYGX-CFWGEQFBSA-N,ChEMBL:CHEMBL3693939,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0133,CHEMBL3693940,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,N[C@H]1CCN(C(=O)CN(C(=O)/C=C/c2ccccc2)c2ccc(Oc3ccccc3)cc2)C1,OSOYNMLVDAQMAZ-GSTVHYHFSA-N,ChEMBL:CHEMBL3693940,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0134,CHEMBL3693941,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,N[C@H]1CCN(C(=O)CN(CC(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cccc(Oc3ccccc3)c2)C1,KHPNQJDXEBEUDN-QFIPXVFZSA-N,ChEMBL:CHEMBL3693941,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0135,CHEMBL3693942,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,N[C@H]1CCN(C(=O)CN(CC(=O)NCc2cccc(Cl)c2)c2ccc(Oc3ccccc3)cc2)C1,GCGTVJOAENIZRB-QFIPXVFZSA-N,ChEMBL:CHEMBL3693942,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0136,CHEMBL3693943,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,N[C@H]1CCN(C(=O)CN(CC(=O)NCc2cc(F)cc(C(F)(F)F)c2)c2ccc(Oc3ccccc3)cc2)C1,WHXMWBWMNMEOEN-QFIPXVFZSA-N,ChEMBL:CHEMBL3693943,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0137,CHEMBL3693944,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,2,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,N[C@H]1CCN(C(=O)CN(CC(=O)NCc2cccc(Cl)c2)c2ccccc2Oc2ccccc2)C1,AFYPWZIOIJEAMM-QFIPXVFZSA-N,ChEMBL:CHEMBL3693944,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0028,IBREXAFUNGERP,enfumafungin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,35,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O,BODYFEUFKHPRCK-ZCZMVWJSSA-N,ChEMBL:CHEMBL4297513,,,P1_verify_direct_inhibition_evidence
