external_compound_id,preferred_name,auto_review_confidence,auto_fks1_specificity,external_training_role,label_weight_external_pretraining,rdkit_parse_ok,canonical_smiles_rdkit,inchikey_rdkit,molecular_formula,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,mol_wt_rdkit,clogp_rdkit,mol_mr_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,aliphatic_ring_count_rdkit,saturated_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_total_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit,double_bonds_unassigned_ez_rdkit
EXT-FKS-0001,CASPOFUNGIN,high,FKS1_specific_candidate,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,JYIKNQVWKBUSNH-WVDDFWQHSA-N,C52H88N10O15,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,99,1092.6430621160002,1093.3310000000001,-3.31190000000001,280.1883999999996,412.03,16,18,23,77,25,4,1,3,3,0.75,0,16,16,0,0
EXT-FKS-0002,ANIDULAFUNGIN,high,FKS1_specific_candidate,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,JHVAMHSQVVQIOT-MFAJLEFUSA-N,C58H73N7O17,O=C(N[C@H]1CCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,89,1139.5062938760002,1140.2540000000004,-0.927099999999986,293.3851999999998,377.41999999999996,14,17,14,82,24,7,4,3,3,0.46551724137931033,0,15,15,0,0
EXT-FKS-0003,MICAFUNGIN,high,FKS1_specific_candidate,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,PIEUQSKUWLMALL-YABMTYFHSA-N,C56H71N9O23S,O=C(N[C@H]1CCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccc(-c2cc(-c3ccccc3)on2)cc1,121,1269.438350532,1270.2910000000004,-3.9019999999999966,303.76020000000005,510.14,16,23,18,89,33,7,4,3,3,0.48214285714285715,0,15,15,0,0
EXT-FKS-0016,CHEMBL3760049,medium,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_known_family_source_check,0.5,yes,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@H](C)O)NC4=O)cc3)cc2)cc1,JHVAMHSQVVQIOT-ZREZJXSTSA-N,C58H73N7O17,O=C(N[C@@H]1CCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,89,1139.5062938760002,1140.2540000000004,-0.927099999999986,293.3851999999998,377.41999999999996,14,17,14,82,24,7,4,3,3,0.46551724137931033,0,15,15,0,0
EXT-FKS-0017,ACULEACIN A,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCCCCCCCCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,YKPHLXGEPNYRPY-ZIUFDZNVSA-N,C50H81N7O16,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,81,1035.573979512,1036.2310000000002,-1.6625999999999865,262.03969999999936,368.18999999999994,14,16,20,73,23,4,1,3,3,0.74,0,15,15,0,0
EXT-FKS-0018,CILOFUNGIN,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCCCCCCCOc1ccc(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC2=O)cc1,ZKZKCEAHVFVZDJ-MTUMARHDSA-N,C49H71N7O17,O=C(N[C@H]1CCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccccc1,87,1029.4906438120001,1030.1390000000004,-3.0907999999999873,256.36419999999947,377.41999999999996,14,17,15,73,24,5,2,3,3,0.6122448979591837,0,15,15,0,0
EXT-FKS-0020,CHEMBL4764856,medium,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_known_family_source_check,0.5,yes,CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@H]4[C@H]5COC[C@@]4(C[C@@H](n4ncnc4-c4ccncc4)[C@@H]5OC[C@](C)(N)C(C)(C)C)C3=CC[C@@]2(C)[C@@H]1C(=O)O,RQNYUCOQFZEKBG-AMAXVAHISA-N,C43H65N5O4,C1=C2[C@H](CC[C@H]3[C@H]4COC[C@@]23C[C@@H](n2ncnc2-c2ccncc2)C4)C2CCCCC2C1,91,715.5036555600002,716.0239999999999,8.228300000000008,203.03319999999925,125.38000000000001,2,7,8,52,9,7,2,5,4,0.7674418604651163,0,12,12,0,0
EXT-FKS-0022,CHEMBL3037784,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DQXPFAADCTZLNL-FXDJFZINSA-N,C50H80N8O17,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,95,1064.5641431000001,1065.2290000000003,-3.3412999999999955,265.4900999999995,411.28,15,17,20,75,25,4,1,3,3,0.72,0,16,16,0,0
EXT-FKS-0023,ENFUMAFUNGIN,medium_high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_medium_high_direct_FKS,0.75,yes,CC(=O)O[C@@H]1C[C@]23C4=CC[C@@]5(C)[C@H](C(=O)O)[C@@](C)([C@H](C)C(C)C)CC[C@]5(C)[C@H]4CC[C@H]2[C@@](C)(COC3O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,IAOFPTKYKOAKGZ-CRWQHXLTSA-N,C38H60O12,C1=C2[C@H](CC[C@H]3C4COC[C@@]23CC[C@@H]4O[C@H]2CCCCO2)C2CCCCC2C1,81,708.40847736,708.8860000000006,3.0101000000000027,178.90679999999952,192.44,6,11,7,50,12,6,0,6,5,0.8947368421052632,0,17,16,1,0
EXT-FKS-0027,CHEMBL2387203,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DFQUSLQYURJBIT-KGPSKUFKSA-N,C51H82N8O17,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,96,1078.579793164,1079.256,-3.095299999999996,270.03709999999955,411.28,15,17,20,76,25,4,1,3,3,0.7254901960784313,0,17,17,0,0
