dataset_version,external_compound_id,preferred_name,compound_family,strict_inclusion_class,source_ids,smiles_canonical,canonical_smiles_rdkit,inchikey,inchikey_rdkit,rdkit_parse_ok,structure_ready_for_2d_modeling,auto_review_decision,auto_review_confidence,auto_mechanism_scope,auto_fks1_specificity,external_training_role,mechanism_classification_label,label_weight_external_pretraining,use_for_external_pretraining_v0_1,use_for_external_chemical_space_v0_1,use_for_papulacandin_exact_activity_regression,exact_activity_regression_exclusion_reason,manual_review_required_before_final_claim,accepted_direct_evidence_rows,high_confidence_direct_rows,medium_high_confidence_direct_rows,fks1_specific_direct_rows,target_unchecked_direct_rows,unique_source_reference_count,activity_rows_total,activity_rows_with_converted_uM,activity_endpoint_type_count,activity_organism_count,activity_source_reference_count,direct_evidence_rows_reviewed,direct_evidence_high_rows,direct_evidence_medium_high_rows,direct_evidence_fks1_specific_rows,direct_exact_value_rows,best_direct_exact_value_uM,best_direct_exact_p_activity,molecular_formula,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,mol_wt_rdkit,clogp_rdkit,mol_mr_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,aliphatic_ring_count_rdkit,saturated_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_total_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit,double_bonds_unassigned_ez_rdkit,duplicate_inchikey_group_size,duplicate_rdkit_smiles_group_size,evidence_summary,recommended_action,manual_override_decision,manual_note,rdkit_parse_error,data_origin,whole_cell_label_direct_rows
external_fks_model_ready_v0_1,EXT-FKS-0001,CASPOFUNGIN,echinocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1630575,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,JYIKNQVWKBUSNH-WVDDFWQHSA-N,JYIKNQVWKBUSNH-WVDDFWQHSA-N,yes,yes,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS1_specific_candidate,pretraining_positive_high_confidence_direct_FKS,1,1.0,yes,yes,no,external_database_assays_are_heterogeneous_do_not_pool_with_curated_papulacandin_MIC,yes_if_used_for_final_claim,53,37,16,18,16,53,817,578,24,0,741,53,37,16,18,53,0.00024,9.62,C52H88N10O15,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,99,1092.6430621160002,1093.3310000000001,-3.31190000000001,280.1883999999996,412.03,16,18,23,77,25,4,1,3,3,0.75,0,16,16,0,0,1,1,"53/53 direct evidence rows accepted by database-field review; example target='Unchecked', method='Inhibition of Candida tropicalis ATCC 750 wild type FKS'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,,,external_database_field_review,0
external_fks_model_ready_v0_1,EXT-FKS-0002,ANIDULAFUNGIN,echinocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL264241,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,JHVAMHSQVVQIOT-MFAJLEFUSA-N,JHVAMHSQVVQIOT-MFAJLEFUSA-N,yes,yes,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS1_specific_candidate,pretraining_positive_high_confidence_direct_FKS,1,1.0,yes,yes,no,external_database_assays_are_heterogeneous_do_not_pool_with_curated_papulacandin_MIC,yes_if_used_for_final_claim,52,34,18,16,18,51,783,397,21,0,752,52,34,18,16,51,0.0002105,9.677,C58H73N7O17,O=C(N[C@H]1CCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,89,1139.5062938760002,1140.2540000000004,-0.927099999999986,293.3851999999998,377.41999999999996,14,17,14,82,24,7,4,3,3,0.46551724137931033,0,15,15,0,0,1,1,"52/52 direct evidence rows accepted by database-field review; example target='Unchecked', method='Inhibition of Candida tropicalis ATCC 750 wild type FKS'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,,,external_database_field_review,0
external_fks_model_ready_v0_1,EXT-FKS-0003,MICAFUNGIN,echinocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL457547,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,PIEUQSKUWLMALL-YABMTYFHSA-N,PIEUQSKUWLMALL-YABMTYFHSA-N,yes,yes,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS1_specific_candidate,pretraining_positive_high_confidence_direct_FKS,1,1.0,yes,yes,no,external_database_assays_are_heterogeneous_do_not_pool_with_curated_papulacandin_MIC,yes_if_used_for_final_claim,47,30,17,16,17,47,707,528,20,0,600,47,30,17,16,47,0.0001173,9.931,C56H71N9O23S,O=C(N[C@H]1CCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccc(-c2cc(-c3ccccc3)on2)cc1,121,1269.438350532,1270.2910000000004,-3.9019999999999966,303.76020000000005,510.14,16,23,18,89,33,7,4,3,3,0.48214285714285715,0,15,15,0,0,1,1,"47/47 direct evidence rows accepted by database-field review; example target='Unchecked', method='Inhibition of Candida tropicalis ATCC 750 wild type FKS'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,,,external_database_field_review,0
external_fks_model_ready_v0_1,EXT-FKS-0016,CHEMBL3760049,echinocandin,known_FKS_or_glucan_synthase_inhibitor_family_candidate,ChEMBL:CHEMBL3760049,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@H](C)O)NC4=O)cc3)cc2)cc1,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@H](C)O)NC4=O)cc3)cc2)cc1,JHVAMHSQVVQIOT-ZREZJXSTSA-N,JHVAMHSQVVQIOT-ZREZJXSTSA-N,yes,yes,auto_accept_known_FKS_family_need_source_confirmation,medium,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_known_family_source_check,1,0.5,yes,yes,no,external_database_assays_are_heterogeneous_do_not_pool_with_curated_papulacandin_MIC,yes_key_family_or_medium_confidence,0,0,0,0,0,0,72,36,3,0,72,0,0,0,0,0,,,C58H73N7O17,O=C(N[C@@H]1CCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,89,1139.5062938760002,1140.2540000000004,-0.927099999999986,293.3851999999998,377.41999999999996,14,17,14,82,24,7,4,3,3,0.46551724137931033,0,15,15,0,0,1,1,known FKS/glucan-synthase inhibitor family candidate; no direct evidence row in strict direct table,keep_as_family_candidate; source_check_needed_for_direct_assay_or mechanism statement,,,,external_database_field_review,0
external_fks_model_ready_v0_1,EXT-FKS-0017,ACULEACIN A,aculeacin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1253515,CCCCCCCCCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,CCCCCCCCCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,YKPHLXGEPNYRPY-ZIUFDZNVSA-N,YKPHLXGEPNYRPY-ZIUFDZNVSA-N,yes,yes,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1,1.0,yes,yes,no,external_database_assays_are_heterogeneous_do_not_pool_with_curated_papulacandin_MIC,yes_if_used_for_final_claim,2,1,1,0,1,2,32,12,5,0,32,2,1,1,0,2,8,5.097,C50H81N7O16,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,81,1035.573979512,1036.2310000000002,-1.6625999999999865,262.03969999999936,368.18999999999994,14,16,20,73,23,4,1,3,3,0.74,0,15,15,0,0,1,1,"2/2 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans 1,3 beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,,,external_database_field_review,1
external_fks_model_ready_v0_1,EXT-FKS-0018,CILOFUNGIN,echinocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL2103748,CCCCCCCCOc1ccc(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC2=O)cc1,CCCCCCCCOc1ccc(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC2=O)cc1,ZKZKCEAHVFVZDJ-MTUMARHDSA-N,ZKZKCEAHVFVZDJ-MTUMARHDSA-N,yes,yes,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1,1.0,yes,yes,no,external_database_assays_are_heterogeneous_do_not_pool_with_curated_papulacandin_MIC,optional_spot_check,1,1,0,0,0,1,29,23,8,0,29,1,1,0,0,0,,,C49H71N7O17,O=C(N[C@H]1CCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccccc1,87,1029.4906438120001,1030.1390000000004,-3.0907999999999873,256.36419999999947,377.41999999999996,14,17,15,73,24,5,2,3,3,0.6122448979591837,0,15,15,0,0,1,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='In vitro inhibition of glucan synthase obtained from Candida albicans at a concentration of 10 ug/mL.'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,,,external_database_field_review,0
external_fks_model_ready_v0_1,EXT-FKS-0020,CHEMBL4764856,enfumafungin,known_FKS_or_glucan_synthase_inhibitor_family_candidate,ChEMBL:CHEMBL4764856,CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@H]4[C@H]5COC[C@@]4(C[C@@H](n4ncnc4-c4ccncc4)[C@@H]5OC[C@](C)(N)C(C)(C)C)C3=CC[C@@]2(C)[C@@H]1C(=O)O,CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@H]4[C@H]5COC[C@@]4(C[C@@H](n4ncnc4-c4ccncc4)[C@@H]5OC[C@](C)(N)C(C)(C)C)C3=CC[C@@]2(C)[C@@H]1C(=O)O,RQNYUCOQFZEKBG-AMAXVAHISA-N,RQNYUCOQFZEKBG-AMAXVAHISA-N,yes,yes,auto_accept_known_FKS_family_need_source_confirmation,medium,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_known_family_source_check,1,0.5,yes,yes,no,external_database_assays_are_heterogeneous_do_not_pool_with_curated_papulacandin_MIC,yes_key_family_or_medium_confidence,0,0,0,0,0,0,54,52,3,0,54,0,0,0,0,0,,,C43H65N5O4,C1=C2[C@H](CC[C@H]3[C@H]4COC[C@@]23C[C@@H](n2ncnc2-c2ccncc2)C4)C2CCCCC2C1,91,715.5036555600002,716.0239999999999,8.228300000000008,203.03319999999925,125.38000000000001,2,7,8,52,9,7,2,5,4,0.7674418604651163,0,12,12,0,0,1,1,known FKS/glucan-synthase inhibitor family candidate; no direct evidence row in strict direct table,keep_as_family_candidate; source_check_needed_for_direct_assay_or mechanism statement,,,,external_database_field_review,0
external_fks_model_ready_v0_1,EXT-FKS-0022,CHEMBL3037784,echinocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL3037784,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DQXPFAADCTZLNL-FXDJFZINSA-N,DQXPFAADCTZLNL-FXDJFZINSA-N,yes,yes,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1,1.0,yes,yes,no,external_database_assays_are_heterogeneous_do_not_pool_with_curated_papulacandin_MIC,yes_if_used_for_final_claim,2,1,1,0,1,2,27,24,7,0,17,2,1,1,0,2,0.0357,7.447,C50H80N8O17,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,95,1064.5641431000001,1065.2290000000003,-3.3412999999999955,265.4900999999995,411.28,15,17,20,75,25,4,1,3,3,0.72,0,16,16,0,0,1,1,"2/2 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of wild type Candida albicans 1,3-beta-D-glucan synthase using UDP[6,3H]-glucose as substrate after 60 mins b'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,,,external_database_field_review,0
external_fks_model_ready_v0_1,EXT-FKS-0023,ENFUMAFUNGIN,enfumafungin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL2165734,CC(=O)O[C@@H]1C[C@]23C4=CC[C@@]5(C)[C@H](C(=O)O)[C@@](C)([C@H](C)C(C)C)CC[C@]5(C)[C@H]4CC[C@H]2[C@@](C)(COC3O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CC(=O)O[C@@H]1C[C@]23C4=CC[C@@]5(C)[C@H](C(=O)O)[C@@](C)([C@H](C)C(C)C)CC[C@]5(C)[C@H]4CC[C@H]2[C@@](C)(COC3O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,IAOFPTKYKOAKGZ-CRWQHXLTSA-N,IAOFPTKYKOAKGZ-CRWQHXLTSA-N,yes,yes,auto_accept_direct_FKS_or_glucan_synthase,medium_high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_medium_high_direct_FKS,1,0.75,yes,yes,no,external_database_assays_are_heterogeneous_do_not_pool_with_curated_papulacandin_MIC,yes_if_used_for_final_claim,3,0,3,0,3,3,26,26,4,0,26,3,0,3,0,3,0.07053,7.152,C38H60O12,C1=C2[C@H](CC[C@H]3C4COC[C@@]23CC[C@@H]4O[C@H]2CCCCO2)C2CCCCC2C1,81,708.40847736,708.8860000000006,3.0101000000000027,178.90679999999952,192.44,6,11,7,50,12,6,0,6,5,0.8947368421052632,0,17,16,1,0,1,1,"3/3 direct evidence rows accepted by database-field review; example target='Unchecked', method='Inhibition of Candida albicans MY1055 beta-1,3-glucan synthase assessed as [3H]UDPG incorporation after 2 hrs'",can_enter_strict_candidate_set; spot_check_unchecked_target_or_ChEMBL_assay_type_if_high_priority,,,,external_database_field_review,0
external_fks_model_ready_v0_1,EXT-FKS-0027,CHEMBL2387203,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL2387203,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DFQUSLQYURJBIT-KGPSKUFKSA-N,DFQUSLQYURJBIT-KGPSKUFKSA-N,yes,yes,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1,1.0,yes,yes,no,external_database_assays_are_heterogeneous_do_not_pool_with_curated_papulacandin_MIC,optional_spot_check,1,1,0,0,0,1,26,24,6,0,14,1,1,0,0,1,0.0176,7.754,C51H82N8O17,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,96,1078.579793164,1079.256,-3.095299999999996,270.03709999999955,411.28,15,17,20,76,25,4,1,3,3,0.7254901960784313,0,17,17,0,0,1,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of wild type Candida albicans 1,3-beta-D-glucan synthase using UDP[6,3H]-glucose as substrate after 60 mins b'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,,,external_database_field_review,0
