dataset_version,compound_source,compound_id,compound_name,smiles,rdkit_parse_ok,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,clogp_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit,descriptor_pc1,descriptor_pc2
papulacandin_external_fks_space_v0_1,papulacandin_core,PAPU-0001,Papulacandin A,CCCCC/C=C/C=C/C(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(=O)/C=C/C=C/C[C@H](O)/C(C)=C/C=C/CC[C@@H](C)CC)[C@@H](O)[C@@]3(OCc4cc(O)cc(O)c43)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,yes,c1ccc2c(c1)CO[C@@]21CC[C@H](O[C@H]2CCCCO2)CO1,98,886.4350860320002,4.065500000000009,251.35999999999996,8,16,22,63,16,4,1,0.574468085106383,0,12,0,-0.528578,-0.539252
papulacandin_external_fks_space_v0_1,papulacandin_core,PAPU-0002,Papulacandin B,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,yes,c1ccc2c(c1)CO[C@@]21CC[C@H](O[C@H]2CCCCO2)CO1,99,900.414350588,2.812300000000001,271.59,9,17,21,64,17,4,1,0.5319148936170213,0,13,0,-0.798501,-0.366518
papulacandin_external_fks_space_v0_1,papulacandin_core,PAPU-0003,Papulacandin C,CCC(O)/C=C/C=C/C=C/C(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(=O)/C=C/C=C/C[C@H](O)/C(C)=C/C=C/CC[C@@H](C)CC)[C@@H](O)[C@@]3(OCc4cc(O)cc(O)c43)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,yes,c1ccc2c(c1)CO[C@@]21CC[C@H](O[C@H]2CCCCO2)CO1,99,900.4143505880003,2.812300000000001,271.59,9,17,21,64,17,4,1,0.5319148936170213,0,12,1,-0.78347,-0.563905
papulacandin_external_fks_space_v0_1,papulacandin_core,PAPU-0004,Papulacandin D,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,yes,c1ccc2c(c1)CO[C@@]21CCCCO1,77,574.2777975439999,2.9977000000000014,166.14000000000001,6,10,12,41,10,3,1,0.5161290322580645,0,7,0,1.761124,-1.212076
papulacandin_external_fks_space_v0_1,papulacandin_core,PAPU-0006,Tetradecahydropapulacandin B,CC[C@H](C)CCCCCC(C)[C@@H](O)CCCCCC(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)CCCCCC[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,yes,c1ccc2c(c1)CO[C@@]21CC[C@H](O[C@H]2CCCCO2)CO1,88,914.5239010360001,4.23620000000001,271.59,9,17,28,64,17,4,1,0.8297872340425532,0,13,1,-1.169621,-1.320363
papulacandin_external_fks_space_v0_1,papulacandin_core,PAPU-0007,Octahydropapulacandin D,CC[C@H](C)CCCCCC(C)[C@@H](O)CCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,yes,c1ccc2c(c1)CO[C@@]21CCCCO1,69,582.3403977999999,3.749600000000004,166.14000000000001,6,10,16,41,10,3,1,0.7741935483870968,0,7,1,1.455496,-2.01713
papulacandin_external_fks_space_v0_1,papulacandin_core,PAPU-0008,Papulacandin B nona-acetate,CC[C@H](C)CC/C=C/C=C(\C)[C@H](C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@@H](CC)OC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](COC(C)=O)O[C@]2(OCc3cc(OC(C)=O)cc(OC(C)=O)c32)[C@@H]1OC(C)=O)OC(C)=O,yes,c1ccc2c(c1)CO[C@@]21CC[C@H](O[C@H]2CCCCO2)CO1,106,1278.509432744,7.247300000000009,326.21999999999997,0,26,30,91,26,4,1,0.5230769230769231,0,13,0,-2.109746,-0.087097
papulacandin_external_fks_space_v0_1,papulacandin_core,PAPU-0009,Papulacandin B degradation product I,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,yes,c1ccc2c(c1)CO[C@@]21CC[C@H](O[C@H]2CCCCO2)CO1,87,736.3306209639999,0.8218999999999996,245.28999999999996,9,15,15,52,15,4,1,0.5945945945945946,0,12,0,-0.025154,-0.578876
papulacandin_external_fks_space_v0_1,papulacandin_core,PAPU-0010,Papulacandin B degradation product II,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@]3(OCc4cc(O)cc(O)c43)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,yes,c1ccc2c(c1)CO[C@@]21CC[C@H](O[C@H]2CCCCO2)CO1,50,462.1373408919998,-3.9211999999999994,218.98999999999995,9,13,4,32,13,4,1,0.6842105263157895,0,10,0,1.315713,-0.891658
papulacandin_external_fks_space_v0_1,papulacandin_core,PAPU-0011,Papulacandin B degradation product III,OC[C@H]1O[C@]2(OCc3cc(O)cc(O)c32)[C@H](O)[C@@H](O)[C@@H]1O,yes,c1ccc2c(c1)CO[C@@]21CCCCO1,38,300.08451747199996,-1.7454000000000005,139.84,6,8,1,21,8,3,1,0.5384615384615384,0,5,0,3.207647,-1.39417
