rank,panel_role,compound_id,name,scaffold_short,novel_scaffold,cost,pred_active_prob,pred_pmic,clogp,mw,aromatic_rings,fu_pred,fu_in_domain,serum_label,selection_reason
1,candidate_novel_scaffold,PAPU-0127,Pestiorosin A,C1CCC(CC2CCC(C3CCCCC3)CC,True,obtain_fermentation,0.99,5.9,1.94,806,1,0.03058,False,,scaffold absent from serum set (tests generalisation); clogP 1.9; obtain fermentation; pAct 0.99
2,candidate_novel_scaffold,PAPU-0124,Pestiocandin,C1CCC(CC2CCC(C3CCCCC3)CC,True,obtain_fermentation,0.99,5.46,2.72,834,1,0.02826,False,,scaffold absent from serum set (tests generalisation); clogP 2.7; obtain fermentation; pAct 0.99
3,candidate_novel_scaffold,PAPU-0068,Saricandin,CC(CCC1CCCC(CC2CCC3(CC2),True,obtain_fermentation,0.98,5.47,2.45,838,2,0.02979,False,,scaffold absent from serum set (tests generalisation); clogP 2.5; obtain fermentation; pAct 0.98
4,candidate_novel_scaffold,PAPU-0070,Furanocandin,C1CCC(C2CCC(CC3CCCC3)CC2,True,obtain_fermentation,0.96,5.85,2.25,876,1,0.02862,False,,scaffold absent from serum set (tests generalisation); clogP 2.3; obtain fermentation; pAct 0.96
5,candidate_novel_scaffold,PAPU-0058,Papulacandin B 6-N-methylpiperazinyl derivative,C1CCC(CC2CCC3(CCC4CCCCC4,True,cheap_semisynthetic,0.99,5.82,3.07,983,1,0.015,False,,scaffold absent from serum set (tests generalisation); clogP 3.1; cheap semisynthetic; pAct 0.99
6,candidate_novel_scaffold,PAPU-0055,Papulacandin B 11-amino-imidazolidone derivative,CC1CCCC1C(C)CC1CCC2CCC3(,True,cheap_semisynthetic,0.93,5.99,2.37,1027,1,0.03057,False,,scaffold absent from serum set (tests generalisation); clogP 2.4; cheap semisynthetic; pAct 0.93
7,candidate_diversity,PAPU-0130,Pestiorosin D,C1CCC(CC2CCC3(CC2)CCC2CC,False,obtain_fermentation,1.0,6.23,2.87,832,1,0.02011,False,,clogP 2.9; obtain fermentation; pAct 1.00
8,candidate_diversity,PAPU-0065,Mer-WF3010,C1CCC(CC2CCC3(CC2)CCC2CC,False,obtain_fermentation,1.0,6.07,3.06,856,1,0.01632,False,,clogP 3.1; obtain fermentation; pAct 1.00
9,candidate_diversity,PAPU-0132,Pestiorosin F,C1CCC(CC2CCC3(CC2)CCC2CC,False,obtain_fermentation,0.99,5.79,1.87,802,1,0.03365,False,,clogP 1.9; obtain fermentation; pAct 0.99
10,candidate_novel_scaffold,PAPU-0129,Pestiorosin C,C1CCC(CC2CCC(C3CCCCC3)CC,True,obtain_fermentation,0.99,5.74,1.72,804,1,0.03061,False,,scaffold absent from serum set (tests generalisation); clogP 1.7; obtain fermentation; pAct 0.99
11,candidate_novel_scaffold,PAPU-0092,Corynecandin,C1CCC(CC2CCC(C3CCCCC3)CC,True,obtain_fermentation,0.99,5.8,2.02,808,1,0.02993,False,,scaffold absent from serum set (tests generalisation); clogP 2.0; obtain fermentation; pAct 0.99
12,candidate_novel_scaffold,PAPU-0097,F-10748 B2,C1CCC(CC2CCC(C3CCCCC3)CC,True,obtain_fermentation,0.98,5.71,2.1,810,1,0.02914,False,,scaffold absent from serum set (tests generalisation); clogP 2.1; obtain fermentation; pAct 0.98
13,control_serum_retained,PAPU-0082,Fusacandin analog 6l,CC(CCC1CCC(CC2CCCCC2)C(C,False,cheap_semisynthetic,1.0,5.59,1.52,1068,3,0.03397,False,1,known serum-RETAINED — positive assay control
14,control_serum_retained,PAPU-0080,Fusacandin analog 6j,CC(CCC1CCC(CC2CCCCC2)C(C,False,cheap_semisynthetic,1.0,5.88,1.39,1052,3,0.03488,False,1,known serum-RETAINED — positive assay control
15,control_serum_lost,PAPU-0091,Fusacandin analog 6u,CC(CCC1CCC(CC2CCCCC2)C(C,False,cheap_semisynthetic,0.99,5.5,1.1,1068,3,0.03425,False,0,known serum-LOST — negative assay control
16,control_serum_lost,PAPU-0079,Fusacandin analog 6i,CC(CCC1CCC(CC2CCCCC2)C(C,False,cheap_semisynthetic,0.99,5.77,2.03,1076,4,0.03687,False,0,known serum-LOST — negative assay control
