compound_name,compound_id,serum_active,source_ref
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1687738; MIC =8.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1137656; MIC50 =1.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1275553; MIC =4.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1275553; MIC =8.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1275553; MIC =1.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1687738; MIC =0.5 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1143840; MIC =0.5 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1143840; MIC =2.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1143840; MIC =1.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1629579; MIC =8.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1629579; MIC =0.25 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1629579; MIC =4.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1629579; MIC =0.44 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1137656; MIC50 =2.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1137656; MIC50 =64.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1143840; MIC =8.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1143840; MIC =4.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,0,CHEMBL1137656; MIC50 =128.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1275553; MIC =16.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1629579; MIC =2.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1629579; MIC =0.12 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1137656; MIC50 =4.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1137656; MIC50 =0.5 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1137656; MIC50 =0.25 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1687738; MIC =16.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1275517; MIC =2.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1275517; MIC =4.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1275553; MIC =0.5 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1275553; MIC =2.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1687738; MIC =4.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1629579; MIC =0.5 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1143840; MIC =16.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1275517; MIC =1.0 ug.mL-1
ANIDULAFUNGIN,CHEMBL264241,1,CHEMBL1275553; MIC =32.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1687738; MIC =8.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1687738; MIC =0.12 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1137656; MIC50 =0.5 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1137656; MIC50 =2.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1137656; MIC50 =0.25 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL3112487; MIC =0.5 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1275553; MIC =8.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL2385047; MIC80 =0.125 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1137656; MIC50 =4.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1629579; MIC =8.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1629579; MIC =0.5 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,0,CHEMBL1137656; MIC50 =128.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1629579; MIC =4.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1629579; MIC =16.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1143840; MIC =1.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1137656; MIC50 =1.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1275553; MIC =0.25 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1275553; MIC =4.0 ug.mL-1
CASPOFUNGIN,CHEMBL1630575,1,CHEMBL1143840; MIC =2.0 ug.mL-1
