compound_name,molecule_chembl_id,endpoint_type,value,unit,source_ref
ANIDULAFUNGIN,CHEMBL264241,PPB,99.0,%,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,FU,0.01,,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,FU,0.01,,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,PPB,99.0,%,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,FU,0.01,,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,PPB,80.0,%,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,FU,0.01,,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,PPB,84.0,%,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,FU,0.16,,CHEMBL1614632
ANIDULAFUNGIN,CHEMBL264241,FU,0.01,,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,FU,0.01,,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,PPB,99.0,%,CHEMBL1153564
CASPOFUNGIN,CHEMBL1630575,PPB,96.0,%,CHEMBL1137656
CASPOFUNGIN,CHEMBL1630575,FU,0.035,,CHEMBL1614632
CASPOFUNGIN,CHEMBL1630575,PPB,96.0,%,CHEMBL1137656
MICAFUNGIN,CHEMBL457547,PPB,99.8,%,CHEMBL1649249
MICAFUNGIN,CHEMBL457547,PPB,99.0,%,CHEMBL1629659
MICAFUNGIN,CHEMBL457547,FU,0.0023,,CHEMBL1614632
