"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1630575";"CASPOFUNGIN";"4.0";"1093.33";"None";"None";"Caspofungin";"CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O";"Drug uptake";"'='";"14.4";"ug";"";"";"";"UO_0000023";"";"";"";"";"0";"CHEMBL1691667";"Drug level in immunosuppressed Swiss Webster mouse kidney with pulmonary aspergillosis assessed as compound level per gram of tissue at 5 mg/kg/day, iv for 5 days measured on day 6";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638241";"Kidney";"None";"None";"ROUTE: Intravenous";"";"";"CHEMBL613579";"Kidney";"Mus musculus";"TISSUE";"CHEMBL1687768";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"14.4"
"CHEMBL1630575";"CASPOFUNGIN";"4.0";"1093.33";"None";"None";"CSP";"CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O";"CL";"'='";"6.05";"ml/min/m2";"";"";"";"";"";"";"";"";"0";"CHEMBL1697245";"Clearance in 3-24 months old infants/toddlers at 50 mg/m'2, iv dosed once daily measured on day 1 post dose";"A";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL372";"Homo sapiens";"Homo sapiens";"ORGANISM";"CHEMBL1687725";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"6.05"
"CHEMBL1630575";"CASPOFUNGIN";"4.0";"1093.33";"None";"None";"CSP";"CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O";"AUC";"'='";"101700.0";"ng.hr.mL-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1695415";"AUC (0 to 24 hrs) in 17 years old infants/toddlers measured on day 1 post dose";"A";"BAO_0000218";"organism-based format";"Homo sapiens";"CHEMBL3559721";"Plasma";"None";"None";"TIME <= 24.0 hr";"";"";"CHEMBL372";"Homo sapiens";"Homo sapiens";"ORGANISM";"CHEMBL1687725";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"101.7"
"CHEMBL1630575";"CASPOFUNGIN";"4.0";"1093.33";"None";"None";"CSP";"CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O";"AUC";"'='";"130290.0";"ng.hr.mL-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1697246";"AUC (0 to 24 hrs) in 3-24 months old infants/toddlers at 50 mg/m'2, iv dosed once daily measured on day 4 post dose";"A";"BAO_0000218";"organism-based format";"Homo sapiens";"CHEMBL3559721";"Plasma";"None";"None";"TIME <= 24.0 hr | ROUTE: INTRAVENOUS";"";"";"CHEMBL372";"Homo sapiens";"Homo sapiens";"ORGANISM";"CHEMBL1687725";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"130.29"
"CHEMBL1630575";"CASPOFUNGIN";"4.0";"1093.33";"None";"None";"CA";"CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O";"MEC";"'='";"0.5";"ug ml-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1655806";"Antifungal activity against crzA deficient Aspergillus fumigatus Af293 assessed as abnormal hyphal growth by CLSI method";"F";"BAO_0000218";"organism-based format";"Aspergillus fumigatus";"None";"None";"None";"None";"";"";"";"CHEMBL363";"Aspergillus fumigatus";"Aspergillus fumigatus";"ORGANISM";"CHEMBL1649120";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"0.5"
"CHEMBL1630575";"CASPOFUNGIN";"4.0";"1093.33";"None";"None";"CA";"CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O";"MEC";"'='";"1.0";"ug ml-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1655807";"Antifungal activity against Aspergillus fumigatus Af293 expressing crzA gene assessed as abnormal hyphal growth by CLSI method";"F";"BAO_0000218";"organism-based format";"Aspergillus fumigatus";"None";"None";"None";"None";"";"";"";"CHEMBL363";"Aspergillus fumigatus";"Aspergillus fumigatus";"ORGANISM";"CHEMBL1649120";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"1.0"
"CHEMBL1630575";"CASPOFUNGIN";"4.0";"1093.33";"None";"None";"CA";"CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL1655903";"Antifungal activity against Aspergillus fumigatus H237 expressing dominant-active rasA assessed as decrease in 1, 3-beta-D-glucan cell wall content at 1 ug/ml after 48 hrs by aniline blue assay";"F";"BAO_0000218";"organism-based format";"Aspergillus fumigatus";"None";"None";"None";"None";"";"";"";"CHEMBL363";"Aspergillus fumigatus";"Aspergillus fumigatus";"ORGANISM";"CHEMBL1649120";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"Active";""
"CHEMBL1630575";"CASPOFUNGIN";"4.0";"1093.33";"None";"None";"CAS";"CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O";"TIME";"'>'";"48.0";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1665824";"Antifungal activity against Candida krusei ATCC 6258 bloodstream forms assessed as time to achieve 99.9% fungal growth reduction at 0.5 mg/L by time-kill analysis";"F";"BAO_0000218";"organism-based format";"Pichia kudriavzevii";"None";"None";"None";"None";"";"";"";"CHEMBL612841";"Pichia kudriavzevii";"Pichia kudriavzevii";"ORGANISM";"CHEMBL1649488";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"48.0"
"CHEMBL1630575";"CASPOFUNGIN";"4.0";"1093.33";"None";"None";"CAS";"CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O";"MIC90";"'='";"2.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1664929";"Antifungal activity against Candida krusei ATCC 6258 bloodstream forms assessed as minimum concentration producing >= 100% growth reduction after 24 hrs by M27-A3 microdilution method";"F";"BAO_0000218";"organism-based format";"Pichia kudriavzevii";"None";"None";"None";"None";"";"";"";"CHEMBL612841";"Pichia kudriavzevii";"Pichia kudriavzevii";"ORGANISM";"CHEMBL1649488";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"2.0"
"CHEMBL1630575";"CASPOFUNGIN";"4.0";"1093.33";"None";"None";"CAS";"CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O";"MIC50";"'='";"1.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1665960";"Antifungal activity against Candida krusei ATCC 6258 bloodstream forms assessed as minimum concentration producing >= 50% growth reduction after 48 hrs by M27-A3 microdilution method";"F";"BAO_0000218";"organism-based format";"Pichia kudriavzevii";"None";"None";"None";"None";"";"";"";"CHEMBL612841";"Pichia kudriavzevii";"Pichia kudriavzevii";"ORGANISM";"CHEMBL1649488";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"1.0"
