"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4297513";"IBREXAFUNGERP";"4.0";"730.05";"2";"8.62";"10ac";"CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O";"MIC";"'='";"0.06";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4687919";"Antifungal activity against Candida albicans MY1055 assessed as fungal growth inhibition measured after 24 hrs by liquid microdilution method";"F";"BAO_0000218";"organism-based format";"Candida albicans";"None";"None";"None";"None";"";"";"";"CHEMBL366";"Candida albicans";"Candida albicans";"ORGANISM";"CHEMBL4680287";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"TIME = 24.0 hr";"";"";"0.06"
"CHEMBL4297513";"IBREXAFUNGERP";"4.0";"730.05";"2";"8.62";"10ac";"CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O";"CL";"'='";"14.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL4687930";"Clearance in mouse";"A";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL612558";"ADMET";"";"ADMET";"CHEMBL4680287";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"";"";"";"14.0"
"CHEMBL4297513";"IBREXAFUNGERP";"4.0";"730.05";"2";"8.62";"10ac";"CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O";"T1/2";"'='";"8.3";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL4687933";"Half life in rat";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL612558";"ADMET";"";"ADMET";"CHEMBL4680287";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"";"";"";"8.3"
"CHEMBL4297513";"IBREXAFUNGERP";"4.0";"730.05";"2";"8.62";"10ac";"CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O";"AUC/dose";"'='";"0.69";"uM.hr.kg/mg";"";"";"";"";"";"";"";"";"0";"CHEMBL4687934";"Dose normalized AUC in po dosed rat";"A";"BAO_0000218";"organism-based format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL612558";"ADMET";"";"ADMET";"CHEMBL4680287";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"";"";"";"0.69"
"CHEMBL4297513";"IBREXAFUNGERP";"4.0";"730.05";"2";"8.62";"10ac";"CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O";"CL";"'='";"4.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL4687936";"Clearance in dog";"A";"BAO_0000019";"assay format";"Canis lupus familiaris";"None";"None";"None";"None";"";"";"";"CHEMBL612558";"ADMET";"";"ADMET";"CHEMBL4680287";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"";"";"";"4.0"
"CHEMBL4297513";"IBREXAFUNGERP";"4.0";"730.05";"2";"8.62";"10ac";"CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O";"ED99";"'='";"0.84";"mg kg-1";"";"";"";"UO_0000308";"";"";"";"";"0";"CHEMBL4687948";"Antifungal activity against Candida albicans MY1055 infected in ip dosed DBA/2 mouse model of disseminated candidiasis assessed as reduction in fungal burden in kidney administered bid for 7 days by TOKA";"F";"BAO_0000218";"organism-based format";"Candida albicans";"None";"None";"None";"None";"";"";"";"CHEMBL366";"Candida albicans";"Candida albicans";"ORGANISM";"CHEMBL4680287";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"TIME = 168.0 hr";"";"";"0.84"
"CHEMBL4297513";"IBREXAFUNGERP";"4.0";"730.05";"2";"8.62";"10ac";"CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O";"Activity";"'='";"-3.99";"deltalog10CFU";"";"";"";"";"";"";"";"";"0";"CHEMBL4687949";"Antifungal activity against Candida albicans MY1055 infected in DBA/2 mouse model of disseminated candidiasis assessed as reduction in fungal burden in kidney by measuring log change in colony forming units at 12.5 mg/kg, ip bid for 7 days by TOKA";"F";"BAO_0000218";"organism-based format";"Candida albicans";"None";"None";"None";"None";"";"";"";"CHEMBL366";"Candida albicans";"Candida albicans";"ORGANISM";"CHEMBL4680287";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"DOSE = 12.5 mg.kg-1 | TIME = 168.0 hr";"";"";"-3.99"
"CHEMBL4297513";"IBREXAFUNGERP";"4.0";"730.05";"2";"8.62";"10ac";"CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O";"MST";"'='";"12.2";"day";"";"";"";"UO_0000033";"";"";"";"";"0";"CHEMBL4687960";"Antifungal activity against Aspergillus fumigatus MF5668 infected in DBA/2N mouse assessed as mean survival time at 3.125 mg/kg, ip bid administered for 7 days starting from 15 to 30 mins post infection and measured up to 21 days";"F";"BAO_0000218";"organism-based format";"Aspergillus fumigatus";"None";"None";"None";"None";"";"";"";"CHEMBL363";"Aspergillus fumigatus";"Aspergillus fumigatus";"ORGANISM";"CHEMBL4680287";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"DOSE = 3.125 mg.kg-1 | TIME = 168.0 hr";"";"";"12.2"
"CHEMBL4297513";"IBREXAFUNGERP";"4.0";"730.05";"2";"8.62";"10ac";"CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O";"MST";"'='";"5.8";"day";"";"";"";"UO_0000033";"";"";"";"";"0";"CHEMBL4687963";"Antifungal activity against Aspergillus fumigatus MF5668 infected in DBA/2N mouse assessed as mean survival time at ED90, ip administered bid administered for 7 days starting from 15 to 30 mins post infection and measured up to 21 days";"F";"BAO_0000218";"organism-based format";"Aspergillus fumigatus";"None";"None";"None";"None";"";"";"";"CHEMBL363";"Aspergillus fumigatus";"Aspergillus fumigatus";"ORGANISM";"CHEMBL4680287";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"TIME = 168.0 hr";"";"";"5.8"
"CHEMBL4297513";"IBREXAFUNGERP";"4.0";"730.05";"2";"8.62";"10ac";"CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O";"MIC100";"'='";"1.0";"ug ml-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4687965";"Antifungal activity against Candida glabrata MY1381 assessed as fungal growth inhibition";"F";"BAO_0000218";"organism-based format";"Nakaseomyces glabratus";"None";"None";"None";"None";"";"";"";"CHEMBL612647";"Nakaseomyces glabratus";"Nakaseomyces glabratus";"ORGANISM";"CHEMBL4680287";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"";"";"";"1.0"
