chemotype,compound_id,compound_name,serum_active,label_tier,usable_for_training,confidence,n_active_obs,n_inactive_obs,mixed,sources,caveat
papulacandin,PAPU-0002,Papulacandin B,0,direct_serum,True,high,2,16,True,in_vivo_proxy;papulacandin_serum_mic,
papulacandin,PAPU-0066,Fusacandin A,0,direct_serum,True,high,0,16,False,papulacandin_serum_mic,
papulacandin,PAPU-0067,Fusacandin B,0,direct_serum,True,high,0,5,False,papulacandin_serum_mic,
papulacandin,PAPU-0071,Fusacandin analog 6a,0,direct_serum,True,high,0,5,False,papulacandin_serum_mic,
papulacandin,PAPU-0072,Fusacandin analog 6b,0,direct_serum,True,high,0,5,False,papulacandin_serum_mic,
papulacandin,PAPU-0073,Fusacandin analog 6c,0,direct_serum,True,high,0,5,False,papulacandin_serum_mic,
papulacandin,PAPU-0074,Fusacandin analog 6d,0,direct_serum,True,high,0,5,False,papulacandin_serum_mic,
papulacandin,PAPU-0075,Fusacandin analog 6e,0,direct_serum,True,high,0,5,False,papulacandin_serum_mic,
papulacandin,PAPU-0076,Fusacandin analog 6f,1,direct_serum,True,high,4,1,True,papulacandin_serum_mic,
papulacandin,PAPU-0077,Fusacandin analog 6g,1,direct_serum,True,high,4,1,True,papulacandin_serum_mic,
papulacandin,PAPU-0078,Fusacandin analog 6h,1,direct_serum,True,high,5,0,False,papulacandin_serum_mic,
papulacandin,PAPU-0079,Fusacandin analog 6i,0,direct_serum,True,high,2,3,True,papulacandin_serum_mic,
papulacandin,PAPU-0080,Fusacandin analog 6j,1,direct_serum,True,high,5,0,False,papulacandin_serum_mic,
papulacandin,PAPU-0081,Fusacandin analog 6k,1,direct_serum,True,high,5,0,False,papulacandin_serum_mic,
papulacandin,PAPU-0082,Fusacandin analog 6l,1,direct_serum,True,high,3,2,True,papulacandin_serum_mic,
papulacandin,PAPU-0083,Fusacandin analog 6m,1,direct_serum,True,high,5,0,False,papulacandin_serum_mic,
papulacandin,PAPU-0084,Fusacandin analog 6n,1,direct_serum,True,high,5,0,False,papulacandin_serum_mic,
papulacandin,PAPU-0085,Fusacandin analog 6o,1,direct_serum,True,high,5,0,False,papulacandin_serum_mic,
papulacandin,PAPU-0086,Fusacandin analog 6p,1,direct_serum,True,high,5,0,False,papulacandin_serum_mic,
papulacandin,PAPU-0087,Fusacandin analog 6q,0,direct_serum,True,high,0,5,False,papulacandin_serum_mic,
papulacandin,PAPU-0088,Fusacandin analog 6r,1,direct_serum,True,high,5,0,False,papulacandin_serum_mic,
papulacandin,PAPU-0089,Fusacandin analog 6s,1,direct_serum,True,high,3,2,True,papulacandin_serum_mic,
papulacandin,PAPU-0090,Fusacandin analog 6t,1,direct_serum,True,high,4,1,True,papulacandin_serum_mic,
papulacandin,PAPU-0091,Fusacandin analog 6u,0,direct_serum,True,high,0,5,False,papulacandin_serum_mic,
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,direct_serum,True,high,74,10,True,chembl_serum;clinical_approved;echinocandin_serum_mic;in_vivo_proxy,
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,direct_serum,True,high,72,10,True,chembl_serum;clinical_approved;echinocandin_serum_mic;in_vivo_proxy,
echinocandin,EXT-FKS-0003,MICAFUNGIN,1,direct_serum,True,high,57,5,True,chembl_serum;clinical_approved;echinocandin_serum_mic;in_vivo_proxy,
echinocandin,EXT-FKS-0027,CHEMBL2387203,1,direct_serum,True,high,1,0,False,echinocandin_serum_mic,
echinocandin,EXT-FKS-0022,CHEMBL3037784,1,direct_serum,True,high,1,0,False,echinocandin_serum_mic,
echinocandin,EXT-FKS-0028,IBREXAFUNGERP,1,direct_serum,True,high,5,0,False,chembl_serum;echinocandin_serum_mic;in_vivo_proxy,
papulacandin,PAPU-0001,Papulacandin A,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0016,Papulacandin B 12-OCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0031,Papulacandin B 12-OCH2CH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
