chemotype,compound_id,compound_name,serum_active,label_source,confidence,detail
papulacandin,PAPU-0002,Papulacandin B,1,papulacandin_serum_mic,high,10% human serum; C. albicans; MIC =2.6 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida tropicalis; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida tropicalis; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida kefyr; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida kefyr; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Torulopsis glabrata; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Torulopsis glabrata; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Cryptococcus albidus; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Cryptococcus albidus; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Saccharomyces cerevisiae; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Saccharomyces cerevisiae; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Aspergillus niger; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Aspergillus niger; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0002,Papulacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0066,Fusacandin A,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0067,Fusacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0067,Fusacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0067,Fusacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0067,Fusacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0067,Fusacandin B,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0071,Fusacandin analog 6a,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0071,Fusacandin analog 6a,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0071,Fusacandin analog 6a,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0071,Fusacandin analog 6a,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0071,Fusacandin analog 6a,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0072,Fusacandin analog 6b,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0072,Fusacandin analog 6b,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0072,Fusacandin analog 6b,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0072,Fusacandin analog 6b,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0072,Fusacandin analog 6b,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0073,Fusacandin analog 6c,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0073,Fusacandin analog 6c,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0073,Fusacandin analog 6c,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0073,Fusacandin analog 6c,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0073,Fusacandin analog 6c,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0074,Fusacandin analog 6d,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0074,Fusacandin analog 6d,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0074,Fusacandin analog 6d,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0074,Fusacandin analog 6d,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0074,Fusacandin analog 6d,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0075,Fusacandin analog 6e,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0075,Fusacandin analog 6e,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0075,Fusacandin analog 6e,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0075,Fusacandin analog 6e,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0075,Fusacandin analog 6e,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0076,Fusacandin analog 6f,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0076,Fusacandin analog 6f,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0076,Fusacandin analog 6f,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0076,Fusacandin analog 6f,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0076,Fusacandin analog 6f,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0077,Fusacandin analog 6g,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0077,Fusacandin analog 6g,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0077,Fusacandin analog 6g,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0077,Fusacandin analog 6g,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0077,Fusacandin analog 6g,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =100.0 ug/mL
papulacandin,PAPU-0078,Fusacandin analog 6h,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
