chemotype,external_compound_id,compound_name,is_canonical_fks,organism,strain,endpoint_type,mic_value,endpoint_relation,unit,activity_call,serum_state,serum_or_protein,assay_context,source_reference,source_database
echinocandin,EXT-FKS-0005,AMPHOTERICIN B,False,,,MIC,0.75,=,ug.mL-1,active,serum_context_unknown,unknown,unknown_serum,CHEMBL1240383;Antimicrob Agents Chemother 2010;CHEMBL1246413,ChEMBL
echinocandin,EXT-FKS-0008,FLUCYTOSINE,False,,,MIC,0.004,=,ug.mL-1,active,serum_context_unknown,unknown,unknown_serum,CHEMBL1240383;Antimicrob Agents Chemother 2010;CHEMBL1246413,ChEMBL
echinocandin,EXT-FKS-0004,FLUCONAZOLE,False,,,MIC,256.0,>,ug.mL-1,inactive,serum_context_unknown,unknown,unknown_serum,CHEMBL1240383;Antimicrob Agents Chemother 2010;CHEMBL1246413,ChEMBL
echinocandin,EXT-FKS-0006,VORICONAZOLE,False,,,MIC,12.0,=,ug.mL-1,active,serum_context_unknown,unknown,unknown_serum,CHEMBL1240383;Antimicrob Agents Chemother 2010;CHEMBL1246413,ChEMBL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,True,,,MIC,32.0,>,ug.mL-1,ambiguous,serum_context_unknown,unknown,unknown_serum,CHEMBL1240383;Antimicrob Agents Chemother 2010;CHEMBL1246413,ChEMBL
echinocandin,EXT-FKS-0005,AMPHOTERICIN B,False,,,MIC,0.75,=,ug.mL-1,active,serum_context_unknown,unknown,unknown_serum,CHEMBL1240383;Antimicrob Agents Chemother 2010;CHEMBL1246414,ChEMBL
echinocandin,EXT-FKS-0008,FLUCYTOSINE,False,,,MIC,0.004,=,ug.mL-1,active,serum_context_unknown,unknown,unknown_serum,CHEMBL1240383;Antimicrob Agents Chemother 2010;CHEMBL1246414,ChEMBL
echinocandin,EXT-FKS-0004,FLUCONAZOLE,False,,,MIC,256.0,>,ug.mL-1,inactive,serum_context_unknown,unknown,unknown_serum,CHEMBL1240383;Antimicrob Agents Chemother 2010;CHEMBL1246414,ChEMBL
echinocandin,EXT-FKS-0006,VORICONAZOLE,False,,,MIC,16.0,=,ug.mL-1,active,serum_context_unknown,unknown,unknown_serum,CHEMBL1240383;Antimicrob Agents Chemother 2010;CHEMBL1246414,ChEMBL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,True,,,MIC,32.0,>,ug.mL-1,ambiguous,serum_context_unknown,unknown,unknown_serum,CHEMBL1240383;Antimicrob Agents Chemother 2010;CHEMBL1246414,ChEMBL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,True,,,MIC,8.0,>=,ug.mL-1,active,serum_context_unknown,unknown,unknown_serum,CHEMBL1255489;Antimicrob Agents Chemother 2010;CHEMBL1264035,ChEMBL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,True,,,MIC,4.0,=,ug.mL-1,active,serum_context_unknown,unknown,unknown_serum,CHEMBL1255489;Antimicrob Agents Chemother 2010;CHEMBL1264035,ChEMBL
