chemotype,compound_id,compound_name,compound_class,organism,strain,reference_id,match_level,pairing_confidence,unit,serum_condition,free_mic,serum_mic,free_activity,serum_activity,serum_tolerance,serum_shift,serum_shift_meaningful,log10_serum_shift,intrinsic_potency_free_mic_uM,intrinsic_potency_pMIC,acyl_tail_type,acyl_tail_geometry
papulacandin,PAPU-0002,Papulacandin B,papulacandin,C. albicans,K1133,PAPER-1979-BAGULEY,strain_within_study,high,ug/mL,10% human serum,0.1,2.6,active,active,retained,26.0,True,1.415,0.1111,6.9544,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida albicans,ATCC 10231,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,3.12,100.0,active,inactive,lost,32.0513,False,1.5058,3.0514,5.5155,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida albicans,ATCC 10231,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.7325,5.7613,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida albicans,579a,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,3.12,100.0,active,inactive,lost,32.0513,False,1.5058,3.0514,5.5155,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida albicans,579a,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,3.12,100.0,active,inactive,lost,32.0513,False,1.5058,3.4651,5.4603,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida albicans,CCH 442,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,3.12,100.0,active,inactive,lost,32.0513,False,1.5058,3.0514,5.5155,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida albicans,CCH 442,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.7325,5.7613,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida albicans,ATCC 38247,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,100.0,100.0,inactive,inactive,uninformative,1.0,False,0.0,97.8022,4.0097,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida albicans,ATCC 38247,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.7325,5.7613,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida albicans,ATCC 62376,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,6.1126,5.2138,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida albicans,ATCC 62376,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.7325,5.7613,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida tropicalis,NRRL Y-112,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,6.1126,5.2138,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida tropicalis,NRRL Y-112,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,6.9412,5.1586,C16 unsaturated fatty acid residue,
