compound_id,compound_name,chemotype,organism,serum_tolerance,label_source,confidence,serum_shift,reference_id,direct_pair_evidence
PAPU-0002,Papulacandin B,papulacandin,C. albicans,retained,direct_serum_pair,high,26.0,PAPER-1979-BAGULEY,self
PAPU-0066,Fusacandin A,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0066,Fusacandin A,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0066,Fusacandin A,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0066,Fusacandin A,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0066,Fusacandin A,papulacandin,Candida tropicalis,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Candida tropicalis,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0066,Fusacandin A,papulacandin,Candida kefyr,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Candida kefyr,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0066,Fusacandin A,papulacandin,Torulopsis glabrata,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Torulopsis glabrata,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Cryptococcus albidus,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0066,Fusacandin A,papulacandin,Saccharomyces cerevisiae,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Saccharomyces cerevisiae,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0066,Fusacandin A,papulacandin,Aspergillus niger,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Aspergillus niger,lost,direct_serum_pair,high,,PAPER-1995-JACKSON,self
PAPU-0002,Papulacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0002,Papulacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0002,Papulacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0002,Papulacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0002,Papulacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0066,Fusacandin A,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0066,Fusacandin A,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0066,Fusacandin A,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0066,Fusacandin A,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0066,Fusacandin A,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0067,Fusacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0067,Fusacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0067,Fusacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0067,Fusacandin B,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0071,Fusacandin analog 6a,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0071,Fusacandin analog 6a,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0071,Fusacandin analog 6a,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0071,Fusacandin analog 6a,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0071,Fusacandin analog 6a,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0073,Fusacandin analog 6c,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0073,Fusacandin analog 6c,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0073,Fusacandin analog 6c,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0073,Fusacandin analog 6c,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0073,Fusacandin analog 6c,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0074,Fusacandin analog 6d,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0074,Fusacandin analog 6d,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0074,Fusacandin analog 6d,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0074,Fusacandin analog 6d,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0074,Fusacandin analog 6d,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0075,Fusacandin analog 6e,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
